Κωδικός,Όνομα,Κατηγορία,Διάρκεια (λεπτά),Κόστος (€),Χώρος,Κύριος Ιατρός,Βοηθός 1,Βοηθός 2
Α400091,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ. ΥΑΛΟΕΙΔΟ-ΑΜΦΙΒΛΗΣΤΡΟΕΙΔΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ,χειρουργική,299,932,χειρουργείο,Melissa Murphy,Shannon Walker,Lori Taylor
Α400095,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ. ΙΡΙΔΕΚΤΟΜΗ,χειρουργική,288,1033,χειρουργείο,Lisa Kane,Jared Allen,Rachel Ortiz
Α400097,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ. ΟΦΘΑΛΜΟΣΚΟΠΗΣΗ,θεραπευτική,53,200,αίθουσα επέμβασης,April Carson,Andrew Schwartz,Michael Valencia
Α400121,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,θεραπευτική,66,736,αίθουσα επέμβασης,Lauren Daniels,Shannon Walker,Dillon Jones
Α400125,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ. ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,χειρουργική,164,1440,χειρουργείο,Brian Dennis,Troy Grant,Jennifer Washington
Α400129,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ. ΒΙΟΨΙΑ, ΜΑΛΑΚΟΣ ΙΣΤΟΣ",θεραπευτική,38,851,αίθουσα επέμβασης,Troy Horton,Steven Johns,Andrew Schwartz
Α400141,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΤΟΜΑΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",θεραπευτική,46,891,αίθουσα επέμβασης,William Steele,Evan Henry,Melissa Murphy
Α400145,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΤΟΜΑΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ. ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΕΡΩΙΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ)",χειρουργική,222,3731,χειρουργείο,Anthony Rhodes,Tracy Allen,Joshua Dennis
Α400149,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΤΟΜΑΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ. ΕΚΤΟΜΗ ΟΠΙΣΘΟΦΑΡΥΓΓΙΚΟΥ ΟΓΚΟΥ",χειρουργική,171,3537,χειρουργείο,Robert Chen,Hannah Cruz,Elizabeth Pace
Α400181,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ TA ΟΣΤΑ ΤΟΥ ΠΡΟΣΩΠΟΥ Ή ΤΟ ΚΡΑΝΙΟ.ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,θεραπευτική,73,547,αίθουσα επέμβασης,Tiffany Webster,Victor Williams,Alec Rojas
Α400185,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΟΣΤΑ ΤΟΥ ΠΡΟΣΩΠΟΥ Ή ΤΟ ΚΡΑΝΙΟ.ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΤΟΥ ΠΡΟΓΝΑΘΙΣΜΟΥ),χειρουργική,227,3671,χειρουργείο,Calvin Rowe,Jennifer Washington,April Carson
Α400221,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,θεραπευτική,88,662,αίθουσα επέμβασης,Barbara Baird,Michael Cook,Michael Smith
Α400223,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,χειρουργική,119,966,χειρουργείο,Vanessa Davis,Joseph Gill,Michael Smith
Α400225,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΥΠΟΣΚΛΗΡΙΔΙΕΣ ΠΑΡΑΚΕΝΤΗΣΕΙΣ,θεραπευτική,64,212,αίθουσα επέμβασης,Tracy Allen,George Foster,Steven Johns
Α400229,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΟΠΕΣ ΚΡΑΝΙΟΑΝΑΤΡΗΣΗΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΚΟΙΛΙΟΓΡΑΦΙΑΣ",θεραπευτική,58,278,αίθουσα επέμβασης,Michael Garcia,Stephanie Todd,Michael Cook
Α400231,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΚΡΑΝΙΟΠΛΑΣΤΙΚΗ Ή ΕΠΑΝΑΦΟΡΑ ΣΥΜΠΙΕΣΤΙΚΟΥ ΚΡΑΝΙΑΚΟΥ ΚΑΤΑΓΜΑΤΟΣ, ΕΠΙΣΚΛΗΡΙΔΙΟΥ (ΑΠΛΟΥ Ή ΣΥΝΘΕΤΟΥ)",χειρουργική,154,1209,χειρουργείο,Alec Rojas,Brian Dennis,Joy Wood
Α400233,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΑΓΓΕΙΑ,θεραπευτική,50,373,αίθουσα επέμβασης,Ian Wiggins,Kathy Jones,Leonard Porter
Α400237,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΤΟΝ ΑΣΘΕΝΗ ΣΕ ΚΑΘΙΣΤΗ ΣΤΑΣΗ,θεραπευτική,37,854,αίθουσα επέμβασης,Shannon Walker,Andrew Choi,Joshua Dennis
Α400241,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΕΠΕΜΒΑΣΕΙΣ ΠΑΡΟΧΕΤΕΥΣΗΣ ΕΓΚΕΦΑΛΟΝΩΤΙΑΙΟΥ ΥΓΡΟΥ,θεραπευτική,49,288,αίθουσα επέμβασης,Barbara Baird,Matthew Cooke,Melissa Murphy
Α400245,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ. ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,θεραπευτική,63,764,αίθουσα επέμβασης,Richard Reed,Clayton Rodriguez,Andrew Choi
Α400401,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ, ΤΟΥΣ ΜΥΕΣ ΚΑΙ ΤΑ ΝΕΥΡΑ ΤΗΣ ΚΕΦΑΛΗΣ, ΤΟΥ ΑΥΧΕΝΑ ΚΑΙ ΤΟΥ ΟΠΙΣΘΙΟΥ ΤΜΗΜΑΤΟΣ ΤΟΥ ΚΟΡΜΟΥ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",θεραπευτική,79,205,αίθουσα επέμβασης,Dillon Jones,Lauren Smith,Kelsey Barrera
Α400441,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ, ΤΟΝ ΘΥΡΕΟΕΙΔΗ, ΤΟΝ ΛΑΡΥΓΓΑ, ΤΗΝ ΤΡΑΧΕΙΑ ΚΑΙ ΤΟ ΛΕΜΦΙΚΟ ΣΥΣΤΗΜΑ ΤΟΥ ΑΥΧΕΝΑ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ, ΓΙΑ ΗΛΙΚΙΕΣ ΕΝΟΣ ΕΤΟΥΣ ΚΑΙ ΠΑΝΩ",θεραπευτική,69,670,αίθουσα επέμβασης,Lisa Kane,Michael Cook,Robert Chen
Α400445,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ, ΤΟΝ ΘΥΡΕΟΕΙΔΗ, ΤΟΝ ΛΑΡΥΓΓΑ, ΤΗΝ ΤΡΑΧΕΙΑ ΚΑΙ ΤΟ ΛΕΜΦΙΚΟ ΣΥΣΤΗΜΑ ΤΟΥ ΑΥΧΕΝΑ. ΒΙΟΨΙΑ ΔΙ' ΑΝΑΡΡΟΦΗΣΗΣ ΜΕ ΒΕΛΟΝΑ ΑΠΟ ΤΟΝ ΘΥΡΕΟΕΙΔΗ",θεραπευτική,85,422,αίθουσα επέμβασης,Tracy Allen,Jose Spencer,Ian Wiggins
Α400453,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΛΑΡΥΓΓΑ ΚΑΙ ΤΗΝ ΤΡΑΧΕΙΑ ΣΕ ΠΑΙΔΙΑ ΜΙΚΡΟΤΕΡΑ ΤΟΥ ΕΝΟΣ ΕΤΟΥΣ,θεραπευτική,34,468,αίθουσα επέμβασης,John Molina,Andrew Schwartz,Michael Smith
Α400501,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΚΥΡΙΑ ΑΓΓΕΙΑ ΤΟΥ ΑΥΧΕΝΑ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,θεραπευτική,50,640,αίθουσα επέμβασης,George Foster,Ashley Long,Phillip Wright
Α400505,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΚΥΡΙΑ ΑΓΓΕΙΑ ΤΟΥ ΑΥΧΕΝΑ. ΑΠΛΗ ΑΠΟΛΙΝΩΣΗ,θεραπευτική,32,683,αίθουσα επέμβασης,Jose Spencer,Michael Valencia,Alec Rojas
Α400601,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",θεραπευτική,48,699,αίθουσα επέμβασης,William Daniels,Calvin Rowe,Jerry Garcia
Α400605,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ. ΕΠΑΝΟΡΘΩΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΟ ΓΥΝΑΙΚΕΙΟ ΣΤΗΘΟΣ (Π.Χ. ΜΕΙΩΤΙΚΗ Ή ΑΥΞΗΤΙΚΗ ΠΛΑΣΤΙΚΗ ΣΤΗΘΟΥΣ, ΜΥΙΚΟΙ ΚΡΗΜΝΟΙ)",χειρουργική,138,3462,χειρουργείο,Anthony Rhodes,Tiffany Martinez,Hannah Cruz
Α400613,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ. ΡΙΖΙΚΕΣ Ή ΤΡΟΠΟΠΟΙΗΜΕΝΕΣ-ΡΙΖΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΓΥΝΑΙΚΕΙΟ ΣΤΗΘΟΣ ΜΕ ΕΚΤΟΜΗ ΟΖΟΥ",χειρουργική,146,816,χειρουργείο,David Flores,Hannah Cruz,Leonard Porter
Α400621,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ. ΗΛΕΚΤΡΙΚΗ ΑΝΑΤΑΞΗ ΑΡΡΥΘΜΙΩΝ",θεραπευτική,69,235,αίθουσα επέμβασης,Anthony Rhodes,Melissa Murphy,Brian Dennis
Α400701,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,θεραπευτική,59,558,αίθουσα επέμβασης,Troy Horton,Anthony Harris,Andrew Choi
Α400705,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ. ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,χειρουργική,76,1384,χειρουργείο,Barry Morgan,Kelly Grimes,William Steele
Α400709,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ. ΒΙΟΨΙΑ ΣΤΗΝ ΚΛΕΙΔΑ,θεραπευτική,67,391,αίθουσα επέμβασης,Robert Chen,Ian Wiggins,Victor Williams
Α400741,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ. ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,χειρουργική,255,3885,χειρουργείο,Michael Cook,Lauren Smith,Kathy Jones
Α400745,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ. ΘΩΡΑΚΟΠΛΑΣΤΙΚΗ (ΟΠΟΙΟΥΔΗΠΟΤΕ ΕΙΔΟΥΣ),χειρουργική,253,1271,χειρουργείο,Lindsey Gardner,Troy Grant,Kathy Jones
Α400749,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ. ΡΙΖΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ (Π.Χ. ΘΩΡΑΚΑΣ ΥΠΟΔΗΜΑΤΟΠΟΙΩΝ),χειρουργική,169,3383,χειρουργείο,Anthony Harris,Brian Dennis,Hannah Cruz
Α400801,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ,θεραπευτική,50,341,αίθουσα επέμβασης,Kathy Jones,Hannah Cruz,Jason Nelson
Α400841,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ. (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΡΟΓΧΟΣΚΟΠΗΣΗΣ) ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,θεραπευτική,82,342,αίθουσα επέμβασης,Richard Reed,Jason Nelson,Matthew Bennett
Α400845,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ. ΒΙΟΨΙΑ ΔΙ' ΑΝΑΡΡΟΦΗΣΗΣ ΜΕ ΒΕΛΟΝΑ ΑΠΟ ΤΟΝ ΥΠΕΖΩΚΟΤΑ,θεραπευτική,82,369,αίθουσα επέμβασης,Rachel Ortiz,Shannon Walker,Jennifer Washington
Α400849,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ. ΠΑΡΑΚΕΝΤΗΣΗ ΤΟΥ ΠΝΕΥΜΟΝΟΣ,θεραπευτική,74,545,αίθουσα επέμβασης,April Carson,George Nichols,Christina Miles
Α400857,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ. ΜΕΣΟΘΩΡΑΚΟΣΚΟΠΗΣΗ ΚΑΙ ΔΙΑΓΝΩΣΤΙΚΗ ΘΩΡΑΚΟΣΚΟΠΗΣΗ ΧΩΡΙΣ ΜΗΧΑΝΙΚΟ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ,διαγνωστική,23,158,αίθουσα επέμβασης,Rachel Ortiz,Kelsey Barrera,Dustin Moore
Α400859,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ. ΜΕΣΟΘΩΡΑΚΟΣΚΟΠΗΣΗ ΚΑΙ ΔΙΑΓΝΩΣΤΙΚΗ ΘΩΡΑΚΟΣΚΟΠΗΣΗ ΜΕ ΜΗΧΑΝΙΚΟ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ,διαγνωστική,24,288,αίθουσα επέμβασης,Kathy Jones,William Daniels,William Steele
Α400861,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΤΟΠΟΘΕΤΗΣΗ ΜΟΝΙΜΟΥ ΔΙΑΦΛΕΒΙΟΥ ΒΗΜΑΤΟΔΟΤΗ,θεραπευτική,35,401,αίθουσα επέμβασης,Leonard Porter,William Daniels,Victor Williams
