Medicine_Name,Active_Substance
Zolsketil pegylated liposomal,"doxorubicin hydrochloride, liposomal"
Emtricitabine / Tenofovir alafenamide Viatris,emtricitabine;tenofovir alafenamide fumarate
Ocrevus,ocrelizumab
Icatibant Accord,icatibant acetate
Myqorzo,aficamten
Enwylma,
Jelrix,
Kygevvi,doxecitine;Doxribtimine
Prialt,ziconotide
Lorviqua,Lorlatinib
Jorveza,Budesonide
Bortezomib Hospira,bortezomib
Bluevac BTV (previously Bluevac BTV8),bluetongue virus vaccine serotypes 1 or 4 or 8 [inactivated]
Spevigo,spesolimab
Pavblu,aflibercept
Aripiprazole Sandoz,aripiprazole
Mysimba,bupropion hydrochloride;naltrexone hydrochloride
Equidormin,midazolam
Evrenzo,roxadustat
Mycophenolate mofetil Teva,mycophenolate mofetil
Myfenax,mycophenolate mofetil
Mynzepli,aflibercept
Myclausen,mycophenolate mofetil
Abrysvo,"respiratory syncytial virus vaccine (bivalent, recombinant)"
Cablivi,Caplacizumab
Tafinlar,dabrafenib mesilate
Iclusig,ponatinib
Sorafenib Accord,sorafenib tosilate
Kayshild,semaglutide
Fylrevy,estetrol monohydrate
Neofordex,dexamethasone
Copiktra,duvelisib
Theralugand,lutetium (177Lu) chloride
Sibnayal,potassium citrate monohydrated;potassium hydrogen carbonate
Supemtek,A/California/07/2009 (H1N1)pdm09-like strain (A/California/07/2009);A/Texas/50/2012 (H3N2)-like strain (A/Texas/50/2012);B/Brisbane/60/2008-like strain (B/Brisbane/60/2008)
Blenrep,belantamab mafodotin
Yellox,bromfenac sodium sesquihydrate
Fycompa,perampanel
Agamree,vamorolone
Rebif,interferon beta-1a
Aripiprazole Zentiva,aripiprazole
Poteligeo,mogamulizumab
Crysvita,burosumab
Rezzayo,rezafungin
Doptelet,avatrombopag maleate
Viramune,nevirapine
Neupro,rotigotine
Kavigale,sipavibart
Aerinaze,desloratadine;pseudophedrine sulfate
Zokinvy,Lonafarnib
Opdualag,nivolumab;relatlimab
Adtralza,tralokinumab
Eurneffy,epinephrine
Keppra,levetiracetam
Ryzneuta,efbemalenograstim alfa
Ilumira,lutetium (177Lu) chloride
RoActemra,tocilizumab
Firazyr,icatibant
Eliquis,apixaban
Winrevair,sotatercept
LysaKare,L-arginine hydrochloride;L-lysine hydrochloride
Elfabrio,pegunigalsidase alfa
Topotecan Hospira,topotecan
Vaxelis,"Diphtheria toxoid;tetanus toxoid;Bordetella pertussis antigens: pertussis toxoid, filamentous haemagglutinin, pertactin, fimbriae Types 2 and 3;hepatitis B surface antigen produced in yeast cells;poliovirus (inactivated): type 1 (Mahoney), type 2 (MEF-1), type 3 (Saukett) produced in Vero cells/ Haemophilus influenzae type b polysaccharide (polyribosylribitol phosphate) conjugated to meningococcal protein."
Zoledronic acid Mylan,zoledronic acid
Hepcludex,bulevirtide acetate
Alecensa,alectinib hydrochloride
Cinacalcet Accordpharma,cinacalcet hydrochloride
Brilique,ticagrelor
Finlee,dabrafenib mesilate
Alyftrek,deutivacaftor;tezacaftor;vanzacaftor calcium dihydrate
Glyxambi,empagliflozin;linagliptin
Imuldosa,ustekinumab
Increlex,Mecasermin
Flucelvax,A/Wisconsin/67/2022 (H1N1)pdm09-like strain (A/Georgia/12/2022 CVR-167) / A/District of Columbia/27/2023 (H3N2)-like strain (A/Victoria/800/2024 CVR-289) / B/Austria/1359417/2021-like strain (B/Singapore/WUH4618/2021)
Wegovy,semaglutide
Wakix,pitolisant
Atazanavir Krka,atazanavir (as sulfate)
Duvyzat,givinostat hydrochloride monohydrate
Ziextenzo,pegfilgrastim
Vevzuo,denosumab
Adstiladrin,nadofaragene firadenovec
Imdylltra,tarlatamab
Bopediat,furosemide
Zepzelca,lurbinectedin
Joenja,leniolisib phosphate
Blarcamesine Anavex,blarcamesine hydrochloride
Kisplyx,lenvatinib mesilate
Lenvima,lenvatinib mesilate
Lazcluze,lazertinib mesilate monohydrate
Axumin,fluciclovine (18F)
Xtandi,enzalutamide
Orserdu,elacestrant
Lyrica,pregabalin
Otulfi,ustekinumab
SomaKit TOC,edotreotide
Zirabev,bevacizumab
Bemfola,follitropin alfa
Tepezza,teprotumumab
Trabectedin Accord,trabectedin
Bortezomib Accord,bortezomib
Sylvant,siltuximab
Stivarga,regorafenib
Kanuma,sebelipase alfa
MenQuadfi,Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid
Kadcyla,trastuzumab emtansine
Grasustek,pegfilgrastim
Qaialdo,spironolactone
Vafseo,vadadustat
Artesunate Amivas,artesunate
Roclanda,Latanoprost;netarsudil mesilate
Jardiance,empagliflozin
Velphoro,sucroferric oxyhydroxide
Zynyz,retifanlimab
Shingrix,recombinant varicella zoster virus glycoprotein E
Sondelbay,teriparatide
Arexvy,
Vaborem,meropenem trihydrate;vaborbactam
Tremfya,
Opzelura,ruxolitinib phosphate
Waylivra,volanesorsen sodium
Rxulti,brexpiprazole
Apremilast Accord,apremilast
Cunitraxx,fenbendazole
Ebglyss,Lebrikizumab
Adcetris,Brentuximab vedotin
Evfraxy,denosumab
Xofluza,Baloxavir marboxil
SonoVue,sulphur hexafluoride
Xgeva,denosumab
Vargatef,nintedanib
Osenvelt,denosumab
Libmyris,adalimumab
Aerius,desloratadine
Neoclarityn,desloratadine
Kaftrio,ivacaftor;tezacaftor;elexacaftor
Hympavzi,marstacimab
Imfinzi,durvalumab
Lynparza,olaparib
Kostaive,COVID-19 sa-mRNA Vaccine
Voranigo,vorasidenib
Deltyba,Delamanid
Strensiq,asfotase alfa
Akynzeo,netupitant;palonosetron hydrochloride
Cegfila (previously Pegfilgrastim Mundipharma),pegfilgrastim
Pelmeg,pegfilgrastim
Gohibic,vilobelimab
Gazyvaro,obinutuzumab
Daybu,trofinetide
Plegridy,peginterferon beta-1a
Pemazyre,pemigatinib
Akeega,abiraterone acetate;niraparib (tosilate monohydrate)
Trydonis,beclometasone dipropionate;formoterol fumarate dihydrate;glycopyrronium
Trimbow,beclometasone dipropionate;formoterol fumarate dihydrate;glycopyrronium bromide
Carvykti,ciltacabtagene autoleucel
Pradaxa,dabigatran etexilate mesilate
Vazkepa,Icosapent ethyl
Arsenic trioxide Accord,arsenic trioxide
Xerava,eravacycline
Skyclarys,omaveloxolone
Vizamyl,flutemetamol (18F)
Anktiva,nogapendekin alfa inbakicept
AviGate S. Infantis,"salmonella enterica, subsp. enterica, serovar Infantis, strain J-6-24 ΔcpxRA Δlon1, Live"
VeroBlue-3,"bluetongue virus, serotype 3, VP2 protein"
Ebymect,dapagliflozin propanediol monohydrate;metformin hydrochloride
Edistride,dapagliflozin propanediol monohydrate
Qtern,saxagliptin;dapagliflozin propanediol monohydrate
Xigduo,metformin hydrochloride;dapagliflozin propanediol monohydrate
Elucirem,Gadopiclenol
Vueway,Gadopiclenol
Tecartus,autologous peripheral blood T cells CD4 and CD8 selected and CD3 and CD28 activated transduced with retroviral vector expressing anti-CD19 CD28/CD3-zeta chimeric antigen receptor and cultured (brexucabtagene autoleucel)
Yescarta,axicabtagene ciloleucel
Lenalidomide Krka (previously Lenalidomide Krka d.d. Novo mesto),lenalidomide hydrochloride monohydrate
Quviviq,daridorexant hydrochloride
Exdensur,depemokimab
Vitrakvi,larotrectinib sulfate
Vimpat,lacosamide
Spinraza,nusinersen sodium
Kirsty (previously Kixelle),insulin aspart
Lysodren,mitotane
Iloperidone Vanda Pharmaceuticals,iloperidone
Ponvory,ponesimod
Kengrexal,cangrelor
Lydisilka,estetrol monohydrate;drospirenone
Drovelis,drospirenone;estetrol monohydrate
Amversio,betaine
Alkindi,hydrocortisone
Nucala,Mepolizumab
Cayston,aztreonam lysine
Sprycel,dasatinib
Tyruko,natalizumab
Inhixa,enoxaparin sodium
Waskyra,genetically modified autologous CD34+ cell enriched population that contains haematopoietic stem and progenitor cells (HSPC) transduced ex vivo using a lentiviral vector encoding the human Wiskott-Aldrich Syndrome (WAS) gene
Toujeo (previously Optisulin),insulin glargine
Apidra,insulin glulisine
VacPertagen,recombinant pertussis toxin;filamentous haemagglutinin
Lantus,insulin glargine
Insuman,Insulin human
Imatinib Teva,imatinib
Simponi,golimumab
Eylea,aflibercept
mNexspike,"single-stranded, 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA template, encoding the N-terminal domain and receptor-binding domain of the viral spike (S) protein of SARS-CoV-2"
Kefdensis,denosumab
Otezla,apremilast
Leqvio,inclisiran
Hemgenix,Etranacogene dezaparvovec
Xevudy,sotrovimab
Afqlir,aflibercept
Entyvio,vedolizumab
Zeposia,ozanimod hydrochloride
Vyloy,zolbetuximab
Aqneursa,L-acetylleucine
Lotilaner / Milbemycin Elanco,lotilaner;milbemycin oxime
Nivestim,filgrastim
Retacrit,epoetin zeta
Lamzede,velmanase alfa
Fingolimod Accord,fingolimod hydrochloride
Rasilez,aliskiren
Pylclari,Piflufolastat (18F)
Herceptin,trastuzumab
Nemluvio,nemolizumab
Azomyr,desloratadine
Nexium Control,esomeprazole
Xbonzy,denosumab
Ztalmy,ganaxolone
Jeraygo,aprocitentan
Zyprexa,olanzapine
Aumseqa,Aumolertinib mesilate
Nustendi,bempedoic acid;ezetimibe
Nilemdo,bempedoic acid
Cometriq,cabozantinib
Cabometyx,cabozantinib (s)-malate
Fubelv,etanercept
Bysumlog,insulin lispro
Dazparda,insulin aspart
Ojemda,tovorafenib
Poherdy,pertuzumab
Tuyory,tocilizumab
Xolremdi,mavorixafor
Zandoriah,teriparatide
Zumrad,sasanlimab
Flucelvax Tetra,"A/Wisconsin/67/2022 (H1N1)pdm09-like strain (A/Georgia/12/2022, CVR-167) A/Massachusetts/18/2022 (H3N2)-like strain (A/Sydney/1304/2022, wild type) B/Austria/1359417/2021-like strain (B/Singapore/WUH4618/2021, wild type) B/Phuket/3073/2013-like strain (B/Singapore/INFTT-16-0610/2016, wild type)"
Evkeeza,Evinacumab
Mounjaro,tirzepatide
Adenuric,febuxostat
Sunlenca,lenacapavir sodium
Fluad Tetra,"A/Victoria/4897/2022 (H1N1)pdm09-like strain (A/Victoria/4897/2022, IVR-238) / A/Thailand/8/2022 (H3N2)-like strain (A/Thailand/8/2022 IVR-237) / B/Austria/1359417/2021-like strain (B/Austria/1359417/2021, BVR-26) / B/Phuket/3073/2013-like strain (B/Phuket/3073/2013, BVR-1B) influenza virus"
Conexxence,denosumab
Kisunla,donanemab
Revolade,eltrombopag
Vydura,rimegepant
Yesafili,aflibercept
Orbyk EHD (previously Epizootic haemorrhagic disease vaccine (recombinant protein) Laboratorios Syva S.A.),"Epizootic hemorrhagic disease virus, serotype 8, VP2 protein"
Sycrest,asenapine maleate
Daxas,roflumilast
DaTSCAN,ioflupane (123l)
Eltrombopag Accord,eltrombopag olamine
Tadalafil Mylan,tadalafil
Byooviz,ranibizumab
Tibsovo,Ivosidenib
Verzenios,abemaciclib
Gotenfia,golimumab
Vivlipeg,pegfilgrastim
Enzalutamide Viatris,enzalutamide
Exelon,rivastigmine
Zoledronic Acid Accord,zoledronic acid monohydrate
Apixaban Accord,apixaban
Teriflunomide Accord,teriflunomide
Eribulin Baxter,Eribulin mesylate
Acvybra,denosumab
Lenalidomide Accord,lenalidomide
Fymskina,ustekinumab
Tivdak,tisotumab vedotin
Tepadina,thiotepa
Inluriyo,imlunestrant tosilate
Efmody,hydrocortisone
Ogivri,trastuzumab
Emblaveo,avibactam;aztreonam
Dawnzera,donidalorsen
Osqay,denosumab
Semglee,insulin glargine
Palonosetron Accord,palonosetron
Lyvdelzi (previously Seladelpar Gilead),seladelpar lysine dihydrate
Kevzara,sarilumab
Ameluz,5-aminolevulinic acid hydrochloride
Casgevy,Exagamglogene autotemcel
Klisyri,tirbanibulin
Nuvaxovid,SARS CoV-2 (Original) recombinant spike protein;SARS-CoV-2 (Omicron XBB.1.5) recombinant spike protein
Uptravi,selexipag
Kigabeq,vigabatrin
Adzynma,rADAMTS13
Enrylaze,crisantaspase
Soliris,Eculizumab
Fulphila,pegfilgrastim
Hulio,adalimumab
Orladeyo,berotralstat dihydrochloride
Zemcelpro,"allogeneic umbilical cord-derived CD34- cells, non-expanded;dorocubicel"
Pluvicto,lutetium (177Lu) vipivotide tetraxetan
Epysqli,Eculizumab
Wezenla,ustekinumab
Cejemly,sugemalimab
Inflectra,infliximab
Bronchitol,mannitol
Trecondi,treosulfan
Imbruvica,Ibrutinib
Usrenty,ustekinumab
Lunsumio,mosunetuzumab
Pregabalin Zentiva,pregabalin
Dovato,dolutegravir sodium;lamivudine
Luxturna,voretigene neparvovec
Yesintek,ustekinumab
Hefiya,adalimumab
Ibuprofen Gen.Orph,Ibuprofen
Enspryng,satralizumab
Emepax,maropitant
"Vantavo (previously Alendronate sodium and colecalciferol, MSD)",alendronic acid;colecalciferol
Palforzia,"defatted powder of Arachis hypogaea L., semen (peanuts)"
Infanrix Hexa,"Diphtheria toxoid;tetanus toxoid;Bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin);hepatitis B surface antigen;poliovirus (inactivated) (type-1 (Mahoney strain), type-2 (MEF-1 strain), type-3 (Saukett strain));Haemophilus influenzae type b polysaccharide"
Retsevmo,selpercatinib
Adrovance,colecalciferol;alendronic acid (as sodium trihydrate)
Jentadueto,linagliptin;metformin
Trajenta,linagliptin
Foscan,temoporfin
Fosavance,alendronic acid;colecalciferol
Kyinsu,insulin icodec;semaglutide
Kapruvia,difelikefalin
Imjudo,tremelimumab
Steglatro,ertugliflozin l-pyroglutamic acid
Sephience,sepiapterin
Romvimza,vimseltinib dihydrate
Qinlock,ripretinib
Lumark,lutetium (177Lu) chloride
HyQvia,human normal immunoglobulin
Winlevi,clascoterone
Piasky,Crovalimab
Datroway,datopotamab deruxtecan
Lytenava,bevacizumab
Zypadhera,olanzapine pamoate
Azopt,brinzolamide
Xadago,safinamide methanesulfonate
Tepkinly,epcoritamab
Bildyos,denosumab
Helicobacter Test INFAI,urea (13C)
Tuznue,trastuzumab
Cibinqo,abrocitinib
Exforge HCT,valsartan;hydrochlorothiazide;amlodipine besilate
Alymsys,bevacizumab
Dafiro HCT,valsartan;hydrochlorothiazide;amlodipine besilate
Copalia HCT,amlodipine;valsartan;hydrochlorothiazide
Rayvow,lasmiditan succinate
Insulin aspart Sanofi,insulin aspart
Azarga,brinzolamide;timolol maleate
Exjade,deferasirox
Dasatinib Accord Healthcare,Dasatinib monohydrate
Kesimpta,ofatumumab
Clopidogrel Zentiva (previously Clopidogrel Winthrop),clopidogrel
Vanflyta,quizartinib dihydrochloride
Yuvanci,macitentan;tadalafil
Lyxumia,lixisenatide
Yuflyma,adalimumab
DuoTrav,travoprost;timolol
Avzivi,bevacizumab
Tocilizumab STADA (previously Tofidence),tocilizumab
Prevenar 13,Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 3;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6A;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19A;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 23F
Sugammadex Amomed,sugammadex sodium
Imraldi,adalimumab
Sapropterin Dipharma,sapropterin dihydrochloride
Gilenya,fingolimod hydrochloride
Trazimera,trastuzumab
GalliaPharm,gallium (68Ga) chloride;germanium (68Ge) chloride
Osvyrti,denosumab
Trisenox,arsenic trioxide
Pemetrexed Accord,pemetrexed disodium hemipentahydrate
Kineret,anakinra
Scenesse,afamelanotide
Trulicity,dulaglutide
Qdenga,"Dengue virus, serotype 2, expressing Dengue virus, serotype 1, surface proteins, live, attenuated;Dengue virus, serotype 2, expressing Dengue virus, serotype 3, surface proteins, live, attenuated;Dengue virus, serotype 2, expressing Dengue virus, serotype 4, surface proteins, live, attenuated;Dengue virus, serotype 2, live, attenuated"
Zubsolv,buprenorphine hydrochloride;naloxone hydrochloride dihydrate
INOmax,nitric oxide
Insulin lispro Sanofi,insulin lispro
Zykadia,ceritinib
Varenzin,molidustat sodium
Heplisav B,hepatitis B surface antigen
Biktarvy,bictegravir;emtricitabine;tenofovir alafenamide;fumarate
Erbitux,cetuximab
Leflunomide Zentiva (previously Leflunomide Winthrop),leflunomide
Saphnelo,anifrolumab
Pomalidomide Teva,Pomalidomide
Hukyndra,adalimumab
Koselugo,selumetinib sulfate
Abevmy,bevacizumab
Vegzelma,bevacizumab
Oyavas,bevacizumab
Aybintio,bevacizumab
Zavesca,miglustat
Herzuma,trastuzumab
Dexdor,Dexmedetomidine hydrochloride
Vpriv,velaglucerase alfa
Jaypirca,pirtobrutinib
Tadalafil Lilly,tadalafil
Cialis,tadalafil
Omvoh,mirikizumab
Forsteo,teriparatide
Emgality,Galcanezumab
Optruma,raloxifene hydrochloride
Adcirca (previously Tadalafil Lilly),tadalafil
Minjuvi,tafasitamab
Cetrotide,cetrorelix (as acetate)
Constella,linaclotide
Cimzia,certolizumab pegol
Avastin,bevacizumab
Mvasi,bevacizumab
Briviact (in Italy: Nubriveo),Brivaracetam
Wainzua,eplontersen sodium
Levetiracetam Actavis,levetiracetam
Levetiracetam Teva,levetiracetam
Levetiracetam Actavis Group,levetiracetam
Levetiracetam ratiopharm,levetiracetam
Recarbrio,imipenem monohydrate;cilastatin sodium;relebactam monohydrate
Avtozma,tocilizumab
Aspaveli,pegcetacoplan
Enurev Breezhaler,glycopyrronium bromide
Tovanor Breezhaler,glycopyrronium bromide
Seebri Breezhaler,glycopyrronium bromide
Triumeq,dolutegravir sodium;lamivudine;abacavir (as sulfate)
Kisqali,ribociclib succinate
Zegalogue,dasiglucagon hydrochloride
Tevimbra,tislelizumab
Ronapreve,casirivimab;imdevimab
Austedo,deutetrabenazine
Nexviadyme,avalglucosidase alfa
Travatan,travoprost
Simbrinza,brinzolamide;brimonidine tartrate
Nevanac,nepafenac
Elahere,mirvetuximab soravtansine
Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),aripiprazole
Vyvgart,efgartigimod alfa
Ontruzant,trastuzumab
Opatanol,olopatadine hydrochloride
Erivedge,vismodegib
Bavencio,avelumab
Lacosamide Adroiq,lacosamide
Lyumjev (previously Liumjev),insulin lispro
Liprolog,insulin lispro
Humalog,insulin lispro
Abasaglar (previously Abasria),insulin glargine
Abraxane,paclitaxel
Ponlimsi,denosumab
Veyvondi,vonicog alfa
Nyvepria,pegfilgrastim
Libtayo,cemiplimab
Imnovid (previously Pomalidomide Celgene),Pomalidomide
Hycamtin,topotecan
Odomzo,sonidegib diphosphate
Aflunov,influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/turkey/Turkey/1/05 (H5N1)-like strain (NIBRG-23)
Daptomycin Hospira,daptomycin
Degevma,denosumab
Abiraterone Mylan,abiraterone acetate
Xenpozyme,olipudase alfa
Effentora,fentanyl
Brintellix,vortioxetine
Opuviz,aflibercept
Relistor,methylnaltrexone bromide
Zercepac,trastuzumab
Skyrizi,risankizumab
Tagrisso,osimertinib mesilate
Ziagen,abacavir
Trizivir,abacavir (as sulfate);lamivudine;zidovudine
Kivexa,abacavir;lamivudine
Aprovel,irbesartan
Rystiggo,rozanolixizumab
Namuscla,Mexiletine hydrochloride
Sugammadex Adroiq,sugammadex sodium
Ervebo,"recombinant vesicular stomatitis virus (strain indiana) with a deletion of the envelope glycoprotein, replaced with the zaire ebolavirus (strain kikwit 1995) surface glycoprotein"
Elrexfio,elranatamab
Intuniv,guanfacine hydrochloride
Alimta,pemetrexed
Irbesartan Hydrochlorothiazide Zentiva (previously Irbesartan Hydrochlorothiazide Winthrop),irbesartan;hydrochlorothiazide
Xospata,gilteritinib fumarate
Karvea,irbesartan
Tauvid,Flortaucipir (18F)
Cyramza,ramucirumab
Amyvid,florbetapir (18F)
Abiraterone Krka,abiraterone acetate
Victoza,liraglutide
Ifirmacombi,irbesartan;hydrochlorothiazide
Irbesartan/Hydrochlorothiazide Teva,irbesartan;hydrochlorothiazide
Rivastigmine 1 A Pharma,rivastigmine
Rivastigmine Hexal,rivastigmine
Rivastigmine Sandoz,rivastigmine
Pemetrexed Pfizer (previously Pemetrexed Hospira),pemetrexed disodium;pemetrexed disodium hemipentahydrate
Verkazia,ciclosporin
Ikervis,ciclosporin
Rhokiinsa,netarsudil
Bekemv,Eculizumab
