id_farmakou,onoma_farmakou,energi_ousia
121,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
122,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
123,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
124,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
125,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
126,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
127,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
128,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
129,Abacavir/Lamivudine Viatris,"Abacavir, Lamivudine"
130,Abacavir/Lamivudine Viatris Generiques,"Abacavir, Lamivudine"
131,Abacavir/Lamivudine Zentiva,"Abacavir Sulfate, Lamivudine"
132,Abacavir/Lamivudine/Zidovudine Mylan,"Zidovudine, Abacavir, Lamivudine"
133,Abacavir/Lamivudine/Zidovudine Viatris,"Zidovudine, Abacavir, Lamivudine"
134,Abacavir+lamivudine Accord,"Abacavir, Lamivudine"
135,Abacavir+lamivudine Mylan Pharma,"Abacavir, Lamivudine"
136,Abagat,Dabigatran Etexilate
137,Abagat,Dabigatran Etexilate
138,Abakavir/Lamivudin Mylan Pharma,"Abacavir, Lamivudine"
139,Abakavir/Lamivudin Viatris,"Abacavir, Lamivudine"
140,Abaktal,Pefloxacin
141,Abaktal,Pefloxacin Mesilate Dihydrate
142,Abalon,Paracetamol
143,Aban,Rivaroxaban
144,Abasaglar,Insulin Glargine
145,Abasaglar,Insulin Glargine
146,Abasaglar,Insulin Glargine
147,Abasaglar Kwikpen,Insulin Glargine
148,Abasaglar Kwikpen,Insulin Glargine
149,Abasaglar Kwikpen,Insulin Glargine
150,Abasaglar Tempo Pen,Insulin Glargine
151,Abasaglar Tempo Pen,Insulin Glargine
152,Abasaglar Tempo Pen,Insulin Glargine
153,Abasaglar Tempo Pen,Insulin Glargine
154,Abatixent,Apixaban
155,Abatixent,Apixaban
156,Abatixent,Apixaban
157,Abatixent,Apixaban
158,Abatixent,Apixaban
159,Abatixent,Apixaban
160,Abatixent,Apixaban
161,Abatixent,Apixaban
162,Abatixent,Apixaban
163,Abatixent,Apixaban
164,Abator,Atorvastatin
165,Abattra,Fentanyl
166,Abavalex,Brivaracetam
167,Abavalex,Brivaracetam
168,Abavalex,Brivaracetam
169,Abavalex,Brivaracetam
170,Abavalex,Brivaracetam
171,Abavalex,Brivaracetam
172,Abavalex,Brivaracetam
173,Abavalex,Brivaracetam
174,Abavalex,Brivaracetam
175,Abavalex,Brivaracetam
176,Abaxan,Abiraterone Acetate
177,Abba,"Amoxicillin, Clavulanic Acid"
178,Abbonate,Tranylcypromine
179,Abbonate,Tranylcypromine
180,Abbonate,Tranylcypromine
181,Abbonate,Tranylcypromine
182,Abbonate,Tranylcypromine
183,Abboticin,Erythromycin
184,Abboticin,Erythromycin
185,Abboticin,Erythromycin
186,Abboticin,Erythromycin
187,Abboticin,Erythromycin
188,Abboticin,Erythromycin Ethylsuccinate
189,Abboticin,Erythromycin Lactobionate
190,Abboticin,Erythromycin Stearate
191,Abboticin Es,Erythromycin Ethylsuccinate
192,Abboticin Novum,Erythromycin
193,Abboticin Novum,Erythromycin
194,Abboticin Novum,Erythromycin Ethylsuccinate
195,Abc Lokale Schmerz-Therapie Aktiv-Pflaster,"Soft Extract Of Capsicum, (4-7: 1), Corresponding To 4.8 Mg Of Capsaicinoids, Calculated As Capsaicin. Extraction Solvent: Ethanol 80% (V/V)"
196,Abc Lokale Schmerz-Therapie Wärme,Capsaicin
197,Abc Lokale Schmerz-Therapie Wärme,Capsaicin
198,Abc Lokale Schmerz-Therapie Wärme,"Soft Extract From Cayenne Pepper Fruit (4–7:1), Extraction Solvent: Ethanol 80% (V/V)"
199,Abc Lokale Schmerz-Therapie Wärme-Pflaster,Cayenne Pepper Soft Extract
200,Abc Lokale Schmerz-Therapie Wärme-Pflaster Mit Sensitiv-Vlies,Nonivamide
201,Abdine Cold Relief,Paracetamol Bp
202,Abdine Hot Lemon Cold Relief,Paracetamol Bp
203,Abdomilon N Für Erwachsene Und Heranwachsende Ab 12 Jahren,"Fluid Extract From Gentian Root (1: 1), Extraction Solvent: Ethanol 50% (V / V), Fluid Extract Of Wormwood (1:1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Melissa Leaf (1: 1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Acorus Calamus Root (1:1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Angelica Root (1: 1), Extraction Solvent: Ethanol 30% (V/V)"
204,Abdomin Citrus,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
205,Abdomin Citrus,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
206,Abdomin Junior Med Nøytral Smak,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
207,Abdomin Junior Neutral,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
208,Abdomin Junior Neutral,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
209,Abdomin Med Nøytral Smak,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
210,Abdomin Med Sitrussmak,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
211,Abdomin Neutral,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
212,Abdomin Neutral,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350"
213,Abe,"Lactic Acid, Salicylic Acid"
214,Abeced,Sildenafil Citrate
215,Abecma,Idecabtagene Vicleucel
216,Abecma,Idecabtagene Vicleucel
217,Abecma,Idecabtagene Vicleucel
218,Abecma,Idecabtagene Vicleucel
219,Abecol,"Calcium, Magnesium"
220,Abedel,Sildenafil
221,Abelcet,Amphotericin B
222,Abelcet,Amphotericin B
223,Abelcet,Amphotericin B
224,Abelcet,Amphotericin B
225,Abelcet Complejo Lipídico,Amphotericin B
226,Abelcet Lipid Complex,Amphotericin B
227,Abelcet Lipid Complex,Amphotericin B
228,Abelcet Lipid Complex,Amphotericin B
229,Abelfiz,Aripiprazole
230,Abella,"Drospirenone, Ethinylestradiol"
231,Abemax,Rosuvastatin Calcium
232,Abemot,Prucalopride
233,Abemot 1 Mg,"Lactose Monohydrate, Prucalopride Succinate"
234,Abendur,Bendroflumethiazide
235,Aberipra,Aripiprazole
236,Abernil,Naltrexone Hydrochloride
237,Abesart,Irbesartan
238,Abesyl,Amlodipine
239,Abevmy,Bevacizumab
240,Abevmy,Bevacizumab
241,Abevmy,Bevacizumab
242,Abevmy,Bevacizumab
243,Abfentiq,Fentanyl Citrate
244,Abführ Sn,"Castor Oil, Virgin"
245,Abführ Tee,Sennae Folium
246,Abführ-Kapseln Rizinol,"Castor Oil, Refined"
247,Abführpulver,Magnesium Sulfate Heptahydrate
248,Abführtee,Sennae Folium
249,Abführtee N,"Senna Pods, Tinnevelly"
250,Abführtee-Sennesblätter N,Sennae Folium
251,Abiano,Metformin Hydrochloride
252,Abibam®,Abiraterone Acetate
253,Abicrem,"Fluocinolone Acetonide, Framycetin"
254,Abidalo,Apixaban
255,Abidalo,Apixaban
256,Abidalo,Apixaban
257,Abidalo,Apixaban
258,Abidec Multivitamin,"Retinol Palmitate, Riboflavin Sodium Phosphate Hydrate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Pyridoxine Hydrochloride"
259,Abidec Multivitamin,"Retinol Palmitate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Riboflavin, Pyridoxine Hydrochloride"
260,Abidol,Ibuprofen
261,Abietinsäure,Abietic Acid
262,Abigerd,Esomeprazole Magnesium Dihydrate
263,Abigerd,Esomeprazole Magnesium Dihydrate
264,Abik,Aripiprazole
265,Abilify,Aripiprazole
266,Abilify,Aripiprazole
267,Abilify,Aripiprazole
268,Abilify,Aripiprazole
269,Abilify,Aripiprazole
270,Abilify,Aripiprazole
271,Abilify,Aripiprazole
272,Abilify,Aripiprazole
273,Abilify Maintena,Aripiprazole
274,Abilify Maintena,Aripiprazole
275,Abilify Maintena,Aripiprazole
276,Abilify Maintena,Aripiprazole
277,Abilium,Aripiprazole
278,Abilium,Aripiprazole
279,Abimono,Isoconazole Nitrate
280,Abimono,Isoconazole Nitrate
281,Abimox,Moxifloxacin
282,Abinone,Abiraterone Acetate
283,Abioclav,"Amoxicillin, Clavulanic Acid"
284,Abiostil,"Neomycin, Chlorobutanol, Menthol, Camphor, Cineole, Sylvestris Pine Oil"
285,Abiox,Moxifloxacin Hydrochloride
286,Abipol,Aripiprazole
287,Abiprost,Bimatoprost
288,Abiprostem,Abiraterone Acetate
289,Abiral,Abiraterone Acetate
290,Abiral,Abiraterone Acetate
291,Abiranio,Abiraterone
292,Abirasolon-Mcrpc Kombipackung,Abiraterone Acetate | Prednisolone
293,Abirasolon-Mhspc Kombipackung,Abiraterone Acetate | Prednisolone
294,Abiratel,Abiraterone Acetate
295,Abirateron,Abiraterone
296,"Abirateron ""olpha""",Abiraterone Acetate
297,"Abirateron ""sandoz""",Abiraterone Acetate
298,Abirateron +pharma,Abiraterone Acetate
299,Abirateron 123-Acurae Pharma,Abiraterone Acetate
300,Abirateron 1a Pharma,Abiraterone Acetate
301,Abirateron 1a Pharma,Abiraterone Acetate
302,Abirateron Abdi,Abiraterone Acetate
303,Abirateron Abdi,Abiraterone Acetate
304,Abirateron Acino,Abiraterone Acetate
305,Abirateron Al,Abiraterone Acetate
306,Abirateron Alpha-Medical,Abiraterone Acetate
307,Abirateron Amarox,Abiraterone Acetate
308,Abirateron Aristo,Abiraterone Acetate
309,Abirateron Aristo,Abiraterone Acetate
310,Abirateron Ashcure,Abiraterone
311,Abirateron Ashcure,Abiraterone Acetate
312,Abirateron Avansor,Abiraterone Acetate
313,Abirateron Axiromed,Abiraterone Acetate
314,Abirateron Beta,Abiraterone Acetate
315,Abirateron Betapharm,Abiraterone Acetate
316,Abirateron Bluepharma,Abiraterone Acetate
317,Abirateron Cf,Abiraterone Acetate
318,Abirateron Cipla,Abiraterone Acetate
319,Abirateron Devatis,Abiraterone
320,Abirateron Devatis,Abiraterone
321,Abirateron Devatis,Abiraterone
322,Abirateron Devatis,Abiraterone Acetate
323,Abirateron Devatis,Abiraterone Acetate
324,Abirateron Devatis,Abiraterone Acetate
325,Abirateron Devatis,Abiraterone Acetate
326,Abirateron Devatis,Abiraterone Acetate
327,Abirateron Eg,Abiraterone Acetate
328,Abirateron Eg,Abiraterone Acetate
329,Abirateron G.L.,Abiraterone Acetate
330,Abirateron G.L.,Abiraterone Acetate
331,Abirateron Galenika,Abiraterone Acetate
332,Abirateron Galenika,Abiraterone Acetate
333,Abirateron Glenmark,Abiraterone Acetate
334,Abirateron Glenmark,Abiraterone Acetate
335,Abirateron Heumann,Abiraterone Acetate
336,Abirateron Hexal,Abiraterone Acetate
337,Abirateron Holsten,Abiraterone Acetate
338,Abirateron Leon Farma,Abiraterone Acetate
339,Abirateron Medac,Abiraterone Acetate
340,Abirateron Medical Valley,Abiraterone Acetate
341,Abirateron Medical Valley,Abiraterone Acetate
342,Abirateron Medical Valley,Abiraterone Acetate
343,Abirateron Medical Valley,Abiraterone Acetate
344,Abirateron Medical Valley,Abiraterone Acetate
345,Abirateron Msn,Abiraterone Acetate
346,Abirateron Msn,Abiraterone Acetate
347,Abirateron Msn,Abiraterone Acetate
348,Abirateron Normon,Abiraterone Acetate
349,Abirateron Pharmagen,Abiraterone Acetate
350,Abirateron Pharmagen,Abiraterone Acetate
351,Abirateron Pharmascience,Abiraterone Acetate
352,Abirateron Polisano,Abiraterone Acetate
353,Abirateron Qilu,Abiraterone Acetate
354,Abirateron Ratiopharm,Abiraterone Acetate
355,Abirateron Sandoz,Abiraterone Acetate
356,Abirateron Sandoz,Abiraterone Acetate
357,Abirateron Sandoz,Abiraterone Acetate
358,Abirateron Sandoz,Abiraterone Acetate
359,Abirateron Sandoz,Abiraterone Acetate
360,Abirateron Sandoz,Abiraterone Acetate
361,Abiraterón Sandoz,Abiraterone Acetate
362,Abirateron Stada,Abiraterone Acetate
363,Abirateron Stada,Abiraterone Acetate
364,Abirateron Stada,Abiraterone Acetate
365,Abirateron Stada,Abiraterone Acetate
366,Abirateron Stada,Abiraterone Acetate
367,Abirateron Stada,Abiraterone Acetate
368,Abiraterón Stada,Abiraterone Acetate
369,Abirateron Sun,Abiraterone Acetate
370,Abirateron Sun,Abiraterone Acetate
371,Abirateron Synthon,Abiraterone Acetate
372,Abirateron Teva,Abiraterone Acetate
373,Abirateron Teva,Abiraterone Acetate
374,Abirateron Teva,Abiraterone Acetate
375,Abirateron Teva,Abiraterone Acetate
376,Abirateron Teva,Abiraterone Acetate
377,Abirateron Teva,Abiraterone Acetate
378,Abirateron Teva,Abiraterone Acetate
379,Abirateron Teva,Abiraterone Acetate
380,Abirateron Teva,Abiraterone Acetate
381,Abirateron Uropharm,Abiraterone Acetate
382,Abirateron Vipharm,Abiraterone Acetate
383,Abirateron Vivanta,Abiraterone Acetate
384,Abirateron Vivanta,Abiraterone Acetate
385,Abirateron Xiromed,Abiraterone Acetate
386,Abirateron Zentiva,Abiraterone Acetate
387,Abirateron Zentiva,Abiraterone Acetate
388,Abirateron Zentiva,Abiraterone Acetate
389,Abirateron Zentiva,Abiraterone Acetate
390,Abirateron Zentiva,Abiraterone Acetate
391,Abirateron Zentiva,Abiraterone Acetate
392,Abirateron? Lannacher,Abiraterone Acetate
393,Abirateronă,Abiraterone Acetate
394,Abiraterona Bluepharma,Abiraterone Acetate
395,Abiraterona Bluepharma,Abiraterone Acetate
396,Abiraterona Cipla,Abiraterone Acetate
397,Abiraterona Dr. Reddys,Abiraterone Acetate
398,Abiraterona Efg Synthon,Abiraterone Acetate
399,Abiraterona Eugia,Abiraterone Acetate
400,Abiraterona Eugia,Abiraterone Acetate
401,Abiraterona Exeltis,Abiraterone Acetate
402,Abiraterona Farmoz,Abiraterone Acetate
403,Abiraterona Farmoz,Abiraterone Acetate
404,Abiraterona Generis,Abiraterone Acetate
405,Abiraterona Glenmark,Abiraterone Acetate
406,Abiraterona Kern Pharma,Abiraterone Acetate
407,Abiraterona Msn,Abiraterone Acetate
408,Abirateronă Msn,Abiraterone Acetate
409,Abiraterona Normon,Abiraterone Acetate
410,Abiraterona Normon,Abiraterone Acetate
411,Abiraterona Olpha,Abiraterone Acetate
412,Abiraterona Olpha,Abiraterone Acetate
413,Abirateronă Pharmazac,Abiraterone Acetate
414,Abiraterona Polisano,Abiraterone
415,Abiraterona Qilu,Abiraterone Acetate
416,Abiraterona Sandoz,Abiraterone Acetate
417,Abiraterona Sandoz,Abiraterone Acetate
418,Abiraterona Sandoz,Abiraterone Acetate
419,Abiraterona Stada,Abiraterone Acetate
420,Abiraterona Stada,Abiraterone Acetate
421,Abirateronä Stada,Abiraterone Acetate
422,Abirateronă Sun,Abiraterone Acetate
423,Abiraterona Tarbis,Abiraterone Acetate
424,Abiraterona Tecnigen,Abiraterone Acetate
425,Abiraterona Tecnigen,Abiraterone Acetate
426,Abiraterona Teva,Abiraterone Acetate
427,Abiraterona Teva,Abiraterone Acetate
428,Abirateronă Teva,Abiraterone Acetate
429,Abiraterona Tronyl,Abiraterone Acetate
430,Abiraterona Vivanta,Abiraterone Acetate
431,Abiraterona Zentiva,Abiraterone Acetate
432,Abiraterona Zentiva,Abiraterone Acetate
433,Abirateronă Zentiva,Abiraterone Acetate
434,Abirateronacetaat Amarox,Abiraterone Acetate
435,Abirateronacetaat Eg (Eurogenerics) Nv,Abiraterone Acetate
436,Abirateronacetat,Abiraterone Acetate
437,Abirateronacetat Eg (Eurogenerics) Nv,Abiraterone Acetate
438,Abiraterone,Abiraterone Acetate
439,Abiraterone,Abiraterone Acetate
440,Abiraterone,Abiraterone Acetate
441,Abiraterone,Abiraterone Acetate
442,Abiraterone Abdi,Abiraterone Acetate
443,Abiraterone Abdi,Abiraterone Acetate
444,Abiraterone Abdi,Abiraterone Acetate
445,Abiraterone Abdi,Abiraterone Acetate
446,Abiraterone Abdi Farma,Abiraterone Acetate
447,Abiraterone Accord,Abiraterone Acetate
448,Abiraterone Accord,Abiraterone Acetate
449,Abiraterone Accord,Abiraterone Acetate
450,Abiraterone Accord,Abiraterone Acetate
451,Abiraterone Acetate Zydus,Abiraterone Acetate
452,Abiraterone Agmed,Abiraterone Acetate
453,Abiraterone Agmed,Abiraterone Acetate
454,Abiraterone Amarox,Abiraterone Acetate
455,Abiraterone Aristo,Abiraterone Acetate
456,Abiraterone Aristo,Abiraterone Acetate
457,Abiraterone Ariti,Abiraterone Acetate
458,Abiraterone Arrow,Abiraterone
459,Abiraterone Ashcure,Abiraterone Acetate
460,Abiraterone Ashcure,Abiraterone Acetate
461,Abiraterone Ashcure,Abiraterone Acetate
462,Abiraterone Ashcure,Abiraterone Acetate
463,Abiraterone Avansor,Abiraterone Acetate
464,Abiraterone Biogaran,Abiraterone Acetate
465,Abiraterone Clonmel,Abiraterone Acetate
466,Abiraterone Clonmel,Abiraterone Acetate
467,Abiraterone Cristers,Abiraterone Acetate
468,Abiraterone Day Zero 500 Mg,Abiraterone Acetate
469,Abiraterone Day Zero 500 Mg,Abiraterone Acetate
470,Abiraterone Eg,Abiraterone Acetate
471,Abiraterone Eg,Abiraterone Acetate
472,Abiraterone Eugia,Abiraterone Acetate
473,Abiraterone Eugia,Abiraterone Acetate
474,Abiraterone Eugia,Abiraterone Acetate
475,Abiraterone Eugia,Abiraterone Acetate
476,Abiraterone Evolugen,Abiraterone Acetate
477,Abiraterone Faran,Abiraterone Acetate
478,Abiraterone Farmoz,Abiraterone Acetate
479,Abiraterone Farmoz,Abiraterone Acetate
480,Abiraterone G.L.,Abiraterone Acetate
481,Abiraterone G.L. Pharma,Abiraterone Acetate
482,Abiraterone G.L. Pharma,Abiraterone Acetate
483,Abiraterone G.L. Pharma,Abiraterone Acetate
484,Abiraterone G.L. Pharma,Abiraterone Acetate
485,Abiraterone G.L. Pharma,Abiraterone Acetate
486,Abiraterone Genus Pharmaceuticals,Abiraterone Acetate
487,Abiraterone Genus Pharmaceuticals Ltd.,Abiraterone Acetate
488,Abiraterone Glenmark,Abiraterone Acetate
489,Abiraterone Glenmark,Abiraterone Acetate
490,Abiraterone Glenmark,Abiraterone Acetate
491,Abiraterone Glenmark,Abiraterone Acetate
492,Abiraterone Glenmark,Abiraterone Acetate
493,Abiraterone Glenmark,Abiraterone Acetate
494,Abiraterone Glenmark,Abiraterone Acetate
495,Abiraterone Glenmark Pharmaceuticals Europe,Abiraterone Acetate
496,Abiraterone Heaton,Abiraterone Acetate
497,Abiraterone Heaton,Abiraterone Acetate
498,Abiraterone Heaton,Abiraterone Acetate
499,Abiraterone Krka,Abiraterone Acetate
500,Abiraterone Krka,Abiraterone Acetate
501,Abiraterone Krka,Abiraterone Acetate
502,Abiraterone Medac,Abiraterone Acetate
503,Abiraterone Medac,Abiraterone Acetate
504,Abiraterone Medical Valley,Abiraterone Acetate
505,Abiraterone Medical Valley,Abiraterone Acetate
506,Abiraterone Msn,Abiraterone Acetate
507,Abiraterone Msn,Abiraterone Acetate
508,Abiraterone Msn Labs Europe Limited,Abiraterone
509,Abiraterone Mylan,Abiraterone Acetate
510,Abiraterone Mylan,Abiraterone Acetate
511,Abiraterone Mylan,Abiraterone Acetate
512,Abiraterone Mylan,Abiraterone Acetate
513,Abiraterone Norameda,Abiraterone Acetate
514,Abiraterone Norameda,Abiraterone Acetate
515,Abiraterone Norameda,Abiraterone Acetate
516,Abiraterone Olpha,Abiraterone
517,Abiraterone Olpha,Abiraterone Acetate
518,Abiraterone Olpha,Abiraterone Acetate
519,Abiraterone Olpha,Abiraterone Acetate
520,Abiraterone Olpha,Abiraterone Acetate
521,Abiraterone Olpha,Abiraterone Acetate
