kodikos_KEN,basiko_kostos,mesi_diarkeia_nosileias
Κ14Μα,3245.00,11
Κ14Μβ,1810.00,4
Κ14Χ,1125.00,2
Κ15Μ,1945.00,4
Κ15Χ,1761.00,2
Κ16Μ,1392.00,3
Κ16Χ,1016.00,2
Κ17Μ,2629.00,5
Κ17Χ,2227.00,1
Κ18Μ,2023.00,7
Κ18Χ,1045.00,2
Κ19Α,2903.00,3
Κ20Α,691.00,1
Κ21Μ,2187.00,13
Κ21Χ,1358.00,4
Κ22Α,7048.00,11
Κ30Μ,5401.00,11
Κ30Χ,3649.00,6
Κ31Μ,1853.00,8
Κ31Χ,1078.00,4
Κ32Α,498.00,1
Κ32Μ,1875.00,8
Κ32Χ,968.00,3
Κ33Α,1851.00,13
Κ33Μ,1337.00,8
Κ33Χ,577.00,5
Κ34Μ,2030.00,13
Κ34Χ,891.00,5
Κ35Μ,1365.00,7
Κ35Χ,474.00,2
Κ36Μ,865.00,5
Κ36Χ,340.00,2
Κ37Μ,1089.00,6
Κ37Χ,355.00,2
Κ38Α,3500.00,4
Κ38Μ,1167.00,4
Κ38Χ,570.00,1
Κ39Μ,1153.00,6
Κ39Χ,297.00,2
Κ40Μ,1818.00,10
Κ40Χ,722.00,3
Κ41Μ,4365.00,22
Κ41Χ,2179.00,12
Κ42Μ,1868.00,10
Κ42Χ,849.00,5
Κ43Μ,1012.00,8
Κ43Χ,361.00,2
Κ44Α,310.00,1
Κ45Μα,2207.00,10
Κ45Μβ,927.00,4
Κ45Χ,521.00,2
Κ46Μ,1245.00,6
Κ46Χ,444.00,2
Κ47Μ,940.00,10
Κ47Χ,424.00,5
Κ48Α,1500.00,2
Κ49Μα,9500.00,3
Κ49Μβ,8200.00,3
Κ49Μγ,6300.00,3
Κ49Χ,4700.00,3
Κ50Α,5000.00,4
Κ51Α,2500.00,2
Κ52Μ,15000.00,12
Κ52Χ,14500.00,3
Κ53Μ,13500.00,12
Κ53Χ,12500.00,3
Κ54Μ,5000.00,12
Κ54Χ,4500.00,3
Κ55Μ,5000.00,12
Κ55Χ,4500.00,3
Κ56Μ,25000.00,12
Κ56Χ,23000.00,8
Κ57Μ,26000.00,12
Κ57Χ,24000.00,10
Κ58Μ,4000.00,5
Κ58Χ,3000.00,4
Κ59Α,5500.00,8
Κ60Α,6500.00,4
Κ61Α,13000.00,3
Κ62Α,15000.00,5
Κ63Α,9000.00,5
Κ64Α,4000.00,5
Κ65Α,2000.00,5
Κ66Μ,5500.00,5
Κ66Χ,5000.00,5
Κ67Α,3500.00,5
ΤΚΑ 06,0.00,0
Π01Μ,4192.00,15
Π01Χ,3506.00,9
Π02Μ,5218.00,15
Π02Χ,2519.00,8
Π03Μ,6280.00,15
Π03Χα,2569.00,8
Π03Χβ,1649.00,4
Π04Μα,3028.00,15
Π04Μβ,2464.00,9
Π04Χ,1434.00,4
Π05Μα,3027.00,10
Π05Μβ,1896.00,7
Π05Χ,1306.00,4
Π06Α,1007.00,3
Π07Μ,1409.00,5
Π07Χ,764.00,2
Π10Μ,1475.00,4
Π10Χ,739.00,2
Π11Α,514.00,4
Π12Μα,3797.00,16
Π12Μβ,1757.00,7
Π12Χ,879.00,3
Π26Μ,3035.00,12
Π26Χ,378.00,5
Π26Α,294.00,1
Π27Μ,1356.00,10
Π27Χ,898.00,4
Π27Α,241.00,1
Π28Μ,2000.00,10
Π28Χ,710.00,3
Π28Α,147.00,1
Π40Μ,1521.00,9
Π40Χ,615.00,4
Π41Μ,934.00,5
Π41Χ,375.00,2
Π42Α,997.00,5
Π43Α,304.00,2
Π44Μ,997.00,5
Π44Χ,563.00,2
Π45Μ,1217.00,7
Π45Χ,569.00,3
Π46Α,327.00,2
Π47Μ,933.00,5
Π47Χ,335.00,2
Π50Μ,1033.00,6
Π50Χ,323.00,2
ΤΚΑ 07,0.00,0
Η01Μ,5296.00,17
Η01Χ,3119.00,7
Η02Μα,4646.00,12
Η02Μβ,2344.00,9
Η02Χ,1890.00,6
Η05Μ,4121.00,14
Η05Χ,1267.00,4
Η06Μ,3565.00,14
Η06Χ,864.00,5
Η07Μ,3908.00,11
Η07Χ,1500.00,6
Η08Μ,1600.00,5
Η08Χ,1085.00,2
Η20Μ,3237.00,11
Η20Χ,1182.00,5
Η23Μ,2320.00,11
Η23Χ,651.00,3
Η40Μα,1700.00,12
Η40Μβ,717.00,5
Η40Χ,296.00,2
Η41Μ,1754.00,9
Η41Χ,792.00,4
Η42Μ,1215.00,8
Η42Χ,447.00,3
Η43Μ,1674.00,8
Η43Χ,520.00,2
Η44Μ,942.00,6
Η44Χ,296.00,2
ΤΚΑ 08,0.00,0
Μ01Μ,8657.00,20
Μ01Χ,4582.00,7
Μ02Μ,8282.00,20
Μ02Χ,3000.00,8
Μ03Μ,4000.00,15
Μ03Χ,3000.00,7
Μ04Μ,4450.00,9
Μ04Χ,4000.00,6
Μ05Μ,5593.00,11
Μ05Χ,5017.00,6
Μ06Μα,15000.00,9
Μ06Α,9431.00,6
Μ06Μβ,9562.00,6
Μ06Μγ,8152.00,6
Μ06Χ,4136.00,4
Μ07Α,2100.00,20
Μ08Μ,4449.00,17
Μ08Χ,2765.00,9
Μ09Μα,7063.00,18
Μ09Χα,6046.00,4
Μ09Μβ,4778.00,3
Μ09Χβ,3628.00,3
Μ09Μγ,3311.00,3
Μ09Χ,6000.00,7
Μ10Μα,4239.00,8
Μ10Μβ,3420.00,8
Μ10Χα,2593.00,2
Μ10Χβ,2172.00,2
Μ10Χγ,1707.00,2
Μ10Χδ,1123.00,2
Μ11Α,2468.00,4
Μ12Μα,4980.00,24
Μ12Μβ,2993.00,14
Μ12Χ,1514.00,6
Μ13Μ,1088.00,10
Μ13Χ,577.00,4
Μ15Α,3046.00,6
Μ16Α,1141.00,2
Μ17Μ,2066.00,3
Μ17Χ,640.00,2
Μ18Α,627.00,2
Μ19Μ,2291.00,6
Μ19Χ,998.00,2
Μ20Α,1077.00,2
Μ21Α,940.00,2
Μ22Α,1500.00,2
Μ23Α,522.00,1
Μ24Α,710.00,1
Μ25Μ,2603.00,10
Μ25Χ,1125.00,3
Μ27Μ,1981.00,8
Μ27Χ,820.00,2
Μ28Μ,2399.00,10
Μ28Χ,1085.00,2
Μ29Α,1286.00,2
Μ30Α,707.00,1
Μ31Μ,8038.00,21
Μ31Χ,6905.00,11
Μ32Μα,9083.00,25
Μ32Μβ,5193.00,11
Μ32Χ,4622.00,9
Μ60Α,1563.00,7
Μ61Μ,2200.00,13
Μ61Χ,850.00,4
Μ63Μ,1089.00,7
Μ63Χ,403.00,2
Μ64Μ,2427.00,15
Μ64Χ,1068.00,8
Μ65Μ,2327.00,11
Μ65Χ,1111.00,5
Μ66Μ,2214.00,9
Μ66Χ,410.00,2
Μ67Μ,2207.00,12
Μ67Χ,906.00,7
Μ68Μα,3069.00,2
Μ68Μβ,1338.00,2
Μ68Μγ,1095.00,2
Μ68Χ,731.00,2
Μ68Α,151.00,1
Μ69Μ,1530.00,9
Μ69Χ,425.00,2
Μ71Μ,1203.00,7
Μ71Χ,368.00,2
Μ72Μ,1528.00,9
Μ72Χ,490.00,3
Μ73Μ,2044.00,18
Μ73Χ,437.00,4
Μ74Α,350.00,2
Μ75Μ,1455.00,8
Μ75Χ,368.00,2
Μ76Μ,1174.00,7
Μ76Χ,389.00,2
Μ77Μ,2052.00,12
Μ77Χ,962.00,6
Μ78Μ,1463.00,7
Μ78Χ,470.00,2
Μ79Μ,2942.00,15
Μ79Χ,1370.00,8
Μ95Α,21000.00,15
ΤΚΑ 09,0.00,0
Δ01Μ,5297.00,13
Δ01Χ,5865.00,8
Δ06Α,1380.00,3
Δ07Α,600.00,2
Δ08Μ,2086.00,10
Δ08Χ,719.00,2
Δ09Α,626.00,2
Δ10Α,611.00,2
Δ11Α,367.00,1
Δ12Μ,4429.00,20
Δ12Χα,2816.00,13
Δ12Χβ,1613.00,8
Δ13Μ,2514.00,12
Δ13Χ,915.00,4
Δ14Α,3834.00,8
Δ20Μ,2669.00,16
Δ20Χ,1471.00,9
Δ20Α,171.00,1
Δ22Μ,965.00,5
Δ22Χ,625.00,2
Δ23Μ,965.00,5
Δ23Χ,296.00,2
Δ24Μ,1116.00,9
Δ24Χ,802.00,4
Δ25Μ,1105.00,6
Δ25Χ,350.00,2
Δ27Μ,708.00,3
Δ27Χ,181.00,1
Δ28Μα,1880.00,10
Δ28Μβ,4400.00,30
Δ28Α,164.00,1
Δ28Χ,965.00,4
Δ29Μ,2171.00,11
Δ29Α,161.00,1
Δ29Χ,1377.00,7
ΤΚΑ 10,0.00,0
Θ01Μ,4005.00,27
Θ01Χ,2547.00,12
Θ02Μ,4668.00,10
Θ02Χ,3014.00,4
Θ03Α,2997.00,4
Θ04Μ,3263.00,8
Θ04Χ,1503.00,4
Θ05Μ,2587.00,8
Θ05Χ,1077.00,3
Θ06Μ,2395.00,5
Θ06Χ,1366.00,2
Θ07Α,1276.00,3
Θ08Α,868.00,2
Θ09Μα,4895.00,19
Θ09Μβ,2080.00,7
Θ09Χ,1527.00,3
Θ10Μ,4296.00,18
Θ10Χ,1580.00,7
Θ10Α,297.00,1
Θ20Μ,1735.00,18
Θ20Χ,731.00,3
Θ21Α,2599.00,12
Θ22Μ,1092.00,7
Θ22Χ,482.00,2
Θ23Μ,1074.00,5
Θ23Χ,156.00,3
Θ24Μ,1829.00,9
Θ24Χ,428.00,3
ΤΚΑ 11,0.00,0
Υ02Μ,3111.00,10
Υ02Χ,1029.00,2
Υ03Μα,6165.00,13
Υ03Μβ,4011.00,9
Υ03Χ,2709.00,5
Υ04Μα,4355.00,13
Υ04Μβ,2361.00,7
Υ04Χ,1479.00,3
Υ05Μ,2848.00,10
Υ05Χ,1000.00,3
Υ06Μ,2381.00,9
Υ06Χ,808.00,2
Υ07Μ,1107.00,5
Υ07Χ,643.00,2
Υ08Μ,1271.00,5
Υ08Χ,619.00,2
Υ09Μα,4729.00,17
Υ09Μβ,1760.00,4
Υ09Χ,1035.00,2
Υ20Α,715.00,2
Υ20Μα,2633.00,12
Υ20Μβ,1091.00,6
Υ20Χ,584.00,3
Υ21Α,217.00,1
Υ22Α,482.00,1
Υ22Μ,1373.00,7
Υ22Χ,545.00,2
Υ23Μ,1564.00,8
Υ23Χ,560.00,3
Υ24Α,389.00,2
Υ25Μ,1128.00,6
Υ25Χ,405.00,2
Υ26Α,440.00,2
Υ27Μ,1521.00,7
Υ27Χ,358.00,2
Υ28Α,249.00,1
Υ29Α,136.00,1
Υ30Α,250.00,1
ΤΚΑ 12,0.00,0
Β01Μ,3230.00,8
Β01Χ,2492.00,4
Β02Μ,1406.00,7
Β02Χ,1007.00,3
Β03Α,400.00,2
Β03Μ,3000.00,4
Β04Α,300.00,1
Β05Α,400.00,1
Β06Μ,1212.00,6
Β06Χ,919.00,2
Β10Α,217.00,1
Β20Μ,1169.00,7
Β20Χ,402.00,2
Β21Α,459.00,2
Β22Α,527.00,3
Β23Α,289.00,1
Β24Α,296.00,1
ΤΚΑ 13,0.00,0
Γ01Α,2964.00,8
Γ04Μ,2001.00,6
Γ04Χ,998.00,4
Γ05Μ,1952.00,6
Γ05Χ,1140.00,2
Γ06Μ,1499.00,4
Γ06Χ,1149.00,3
Γ07Α,683.00,2
Γ08Α,603.00,1
Γ09Α,402.00,2
Γ10Α,296.00,1
Γ11Α,729.00,3
Γ12Μ,3251.00,9
Γ12Χ,1784.00,4
Γ20Μ,1790.00,9
Γ20Χ,755.00,4
Γ21Α,343.00,3
Γ22Α,257.00,1
ΤΚΑ 14,0.00,0
Λ01Μ,1300.00,7
Λ01Χ,1000.00,4
Λ02Μ,1100.00,5
Λ02Χ,800.00,4
Λ03Μ,900.00,4
Λ03Χ,700.00,3
Λ04Μ,1200.00,5
Λ04Χ,400.00,2
Λ05Α,200.00,1
Λ20Α,600.00,3
Λ21Α,400.00,2
Λ23Α,200.00,1
Λ24Α,200.00,3
Λ26Α,200.00,5
ΤΚΑ 15,0.00,0
Τ01Α,1037.00,2
Τ02Α,17418.00,23
Τ03Α,13801.00,55
Τ04Α,9927.00,40
Τ05Α,9565.00,35
Τ06Μ,12981.00,30
Τ06Χ,4582.00,20
Τ20Χα,244.00,2
Τ20Χβ,512.00,2
Τ21Α,31460.00,85
Τ22Α,23575.00,75
Τ23Α,6390.00,35
Τ24Α,5818.00,30
Τ25Μα,5651.00,28
Τ25Μβ,4145.00,26
Τ25Μγ,3158.00,24
Τ25Χ,2646.00,20
Τ26Μα,3719.00,28
Τ26Μβ,2346.00,12
Τ26Μγ,1644.00,11
Τ26Χ,716.00,5
Τ27Μα,3076.00,20
Τ27Μβ,1294.00,15
Τ27Μγ,918.00,7
Τ27Χ,428.00,3
ΤΚΑ 16,0.00,0
Ξ01Α,3199.00,14
Ξ02Μ,4413.00,30
Ξ02Χ,781.00,15
Ξ20Μ,1945.00,30
Ξ20Χα,786.00,15
Ξ20Χβ,257.00,5
Ξ21Μ,975.00,20
Ξ21Χ,297.00,3
Ξ22Α,514.00,3
ΤΚΑ 17,0.00,0
Σ01Μ,8000.00,23
Σ01Χ,2194.00,6
Σ02Μα,4000.00,18
Σ02Μβ,2998.00,8
Σ02Χ,1953.00,5
Σ03Μ,5760.00,20
Σ03Χ,1085.00,3
Σ04Μ,1694.00,7
Σ04Χ,966.00,2
Σ20Μ,5707.00,17
Σ20Χ,690.00,3
Σ21Μ,3100.00,14
Σ21Χ,1410.00,5
Σ21Α,200.00,1
Σ22Μ,970.00,6
Σ22Χ,638.00,2
ΤΚΑ 18,0.00,0
Ρ01Α,289.00,1
Ρ05Μα,7644.00,20
Ρ05Μβ,3050.00,9
Ρ05Χ,2140.00,6
Ρ10Μα,6993.00,24
Ρ10Μβ,2688.00,12
Ρ10Χ,1473.00,7
Ρ20Α,5281.00,11
Ρ20Μ,2316.00,11
Ρ20Χ,992.00,6
Ρ21Μ,1556.00,8
Ρ21Χ,778.00,4
Ρ22Μ,1105.00,5
Ρ22Χ,444.00,2
Ρ23Α,428.00,2
Ρ24Μα,3773.00,14
Ρ24Μβ,1401.00,6
Ρ24Χ,623.00,3
ΤΚΑ 19,0.00,0
Ψ20Α,148.00,1
Ψ40Α,140.00,1
Ψ41Α,3066.00,21
Ψ42Μ,3268.00,15
Ψ42Χ,1331.00,8
Ψ43Α,2568.00,14
Ψ44Α,1152.00,7
Ψ45Α,965.00,4
Ψ46Α,4171.00,20
Ψ47Α,1214.00,6
Ψ48Α,3261.00,10
ΤΚΑ 20,0.00,0
Ι20Α,366.00,2
Ι21Α,1089.00,5
Ι22Μ,910.00,6
Ι22Χ,366.00,1
Ι23Α,576.00,5
Ι24Α,599.00,4
ΤΚΑ 21,0.00,0
Φ01Α,10481.00,21
Φ02Μ,8488.00,22
Φ02Χ,6792.00,15
Φ03Α,5386.00,13
Φ04Μ,8343.00,22
Φ04Χ,4975.00,11
Φ10Α,1246.00,1
Φ11Μ,3657.00,15
Φ11Χ,1883.00,7
Φ22Μ,2227.00,5
Φ22Χ,756.00,2
Φ24Μ,2785.00,11
Φ24Χ,934.00,2
Φ25Μ,1256.00,4
Φ25Χ,651.00,1
Φ26Μ,1850.00,9
Φ26Χ,828.00,2
Φ27Μ,3631.00,17
Φ27Χ,1479.00,6
Φ40Α,3288.00,7
Φ60Μ,1144.00,7
Φ60Χ,288.00,2
Φ61Α,280.00,1
Φ62Μ,1183.00,4
Φ62Χ,307.00,2
Φ63Μ,1245.00,6
Φ63Χ,506.00,3
Φ64Μ,1159.00,5
Φ64Χ,303.00,1
ΤΚΑ 22,0.00,0
Ζ01Α,23712.00,38
Ζ02Μ,6157.00,18
Ζ02Χ,1525.00,6
Ζ03Α,2312.00,5
Ζ20Α,241.00,1
Ζ21Α,848.00,4
Ζ22Μ,1167.00,6
Ζ22Χ,397.00,2
ΤΚΑ 23,0.00,0
Χ01Μ,1744.00,6
Χ01Χ,531.00,2
Χ01Α,225.00,1
Χ20Μ,2716.00,20
Χ20Χ,1759.00,19
Χ20Α,700.00,1
Χ21Μ,887.00,5
Χ21Χ,200.00,1
Χ23Μ,2039.00,14
Χ23Χ,848.00,6
Χ24Μ,770.00,4
Χ24Χ,177.00,1
Χ25Α,1082.00,4
ΤΚΑ 24,0.00,0
G01Μα,2860.00,22
G01Μβ,2918.00,9
G01Χ,1190.00,3
ΤΚΑ 25,0.00,0
W10Α,1800.00,6
W11Α,900.00,3
W13Α,600.00,2
