kwdikos_farmakou,onoma_farmakou,
244,Abführ Sn,,
245,Abführ Tee,,
246,Abführ-Kapseln Rizinol,,
247,Abführpulver,,
248,Abführtee,,
249,Abführtee N,,
250,Abführtee-Sennesblätter N,,
251,Abiano,,
252,Abibam®,,
253,Abicrem,,
254,Abidalo,,
255,Abidalo,,
256,Abidalo,,
257,Abidalo,,
258,Abidec Multivitamin,,
259,Abidec Multivitamin,,
260,Abidol,,
261,Abietinsäure,,
262,Abigerd,,
263,Abigerd,,
264,Abik,,
265,Abilify,,
266,Abilify,,
267,Abilify,,
268,Abilify,,
269,Abilify,,
270,Abilify,,
271,Abilify,,
272,Abilify,,
273,Abilify Maintena,,
274,Abilify Maintena,,
275,Abilify Maintena,,
276,Abilify Maintena,,
277,Abilium,,
278,Abilium,,
279,Abimono,,
280,Abimono,,
281,Abimox,,
282,Abinone,,
283,Abioclav,,
284,Abiostil,,
285,Abiox,,
286,Abipol,,
287,Abiprost,,
288,Abiprostem,,
289,Abiral,,
290,Abiral,,
291,Abiranio,,
292,Abirasolon-Mcrpc Kombipackung,,
293,Abirasolon-Mhspc Kombipackung,,
294,Abiratel,,
295,Abirateron,,
296,"Abirateron ""olpha""",,
297,"Abirateron ""sandoz""",,
298,Abirateron +pharma,,
299,Abirateron 123-Acurae Pharma,,
300,Abirateron 1a Pharma,,
301,Abirateron 1a Pharma,,
302,Abirateron Abdi,,
303,Abirateron Abdi,,
304,Abirateron Acino,,
305,Abirateron Al,,
306,Abirateron Alpha-Medical,,
307,Abirateron Amarox,,
308,Abirateron Aristo,,
309,Abirateron Aristo,,
310,Abirateron Ashcure,,
311,Abirateron Ashcure,,
312,Abirateron Avansor,,
313,Abirateron Axiromed,,
314,Abirateron Beta,,
315,Abirateron Betapharm,,
316,Abirateron Bluepharma,,
317,Abirateron Cf,,
318,Abirateron Cipla,,
319,Abirateron Devatis,,
320,Abirateron Devatis,,
321,Abirateron Devatis,,
322,Abirateron Devatis,,
323,Abirateron Devatis,,
324,Abirateron Devatis,,
325,Abirateron Devatis,,
326,Abirateron Devatis,,
327,Abirateron Eg,,
328,Abirateron Eg,,
329,Abirateron G.L.,,
330,Abirateron G.L.,,
331,Abirateron Galenika,,
332,Abirateron Galenika,,
333,Abirateron Glenmark,,
334,Abirateron Glenmark,,
335,Abirateron Heumann,,
336,Abirateron Hexal,,
337,Abirateron Holsten,,
338,Abirateron Leon Farma,,
339,Abirateron Medac,,
340,Abirateron Medical Valley,,
341,Abirateron Medical Valley,,
342,Abirateron Medical Valley,,
343,Abirateron Medical Valley,,
344,Abirateron Medical Valley,,
345,Abirateron Msn,,
346,Abirateron Msn,,
347,Abirateron Msn,,
348,Abirateron Normon,,
349,Abirateron Pharmagen,,
350,Abirateron Pharmagen,,
351,Abirateron Pharmascience,,
352,Abirateron Polisano,,
353,Abirateron Qilu,,
354,Abirateron Ratiopharm,,
355,Abirateron Sandoz,,
356,Abirateron Sandoz,,
357,Abirateron Sandoz,,
358,Abirateron Sandoz,,
359,Abirateron Sandoz,,
360,Abirateron Sandoz,,
361,Abiraterón Sandoz,,
362,Abirateron Stada,,
363,Abirateron Stada,,
364,Abirateron Stada,,
365,Abirateron Stada,,
366,Abirateron Stada,,
367,Abirateron Stada,,
368,Abiraterón Stada,,
369,Abirateron Sun,,
370,Abirateron Sun,,
371,Abirateron Synthon,,
372,Abirateron Teva,,
373,Abirateron Teva,,
374,Abirateron Teva,,
375,Abirateron Teva,,
376,Abirateron Teva,,
377,Abirateron Teva,,
378,Abirateron Teva,,
379,Abirateron Teva,,
380,Abirateron Teva,,
381,Abirateron Uropharm,,
382,Abirateron Vipharm,,
383,Abirateron Vivanta,,
384,Abirateron Vivanta,,
385,Abirateron Xiromed,,
386,Abirateron Zentiva,,
387,Abirateron Zentiva,,
388,Abirateron Zentiva,,
389,Abirateron Zentiva,,
390,Abirateron Zentiva,,
391,Abirateron Zentiva,,
392,Abirateron? Lannacher,,
393,Abirateronă,,
394,Abiraterona Bluepharma,,
395,Abiraterona Bluepharma,,
396,Abiraterona Cipla,,
397,Abiraterona Dr. Reddys,,
398,Abiraterona Efg Synthon,,
399,Abiraterona Eugia,,
400,Abiraterona Eugia,,
401,Abiraterona Exeltis,,
402,Abiraterona Farmoz,,
403,Abiraterona Farmoz,,
404,Abiraterona Generis,,
405,Abiraterona Glenmark,,
406,Abiraterona Kern Pharma,,
407,Abiraterona Msn,,
408,Abirateronă Msn,,
409,Abiraterona Normon,,
410,Abiraterona Normon,,
411,Abiraterona Olpha,,
412,Abiraterona Olpha,,
413,Abirateronă Pharmazac,,
414,Abiraterona Polisano,,
415,Abiraterona Qilu,,
416,Abiraterona Sandoz,,
417,Abiraterona Sandoz,,
418,Abiraterona Sandoz,,
419,Abiraterona Stada,,
420,Abiraterona Stada,,
421,Abirateronä Stada,,
422,Abirateronă Sun,,
423,Abiraterona Tarbis,,
424,Abiraterona Tecnigen,,
425,Abiraterona Tecnigen,,
426,Abiraterona Teva,,
427,Abiraterona Teva,,
428,Abirateronă Teva,,
429,Abiraterona Tronyl,,
430,Abiraterona Vivanta,,
431,Abiraterona Zentiva,,
432,Abiraterona Zentiva,,
433,Abirateronă Zentiva,,
434,Abirateronacetaat Amarox,,
435,Abirateronacetaat Eg (Eurogenerics) Nv,,
436,Abirateronacetat,,
437,Abirateronacetat Eg (Eurogenerics) Nv,,
438,Abiraterone,,
439,Abiraterone,,
440,Abiraterone,,
441,Abiraterone,,
442,Abiraterone Abdi,,
443,Abiraterone Abdi,,
444,Abiraterone Abdi,,
445,Abiraterone Abdi,,
446,Abiraterone Abdi Farma,,
447,Abiraterone Accord,,
448,Abiraterone Accord,,
449,Abiraterone Accord,,
450,Abiraterone Accord,,
451,Abiraterone Acetate Zydus,,
452,Abiraterone Agmed,,
453,Abiraterone Agmed,,
454,Abiraterone Amarox,,
455,Abiraterone Aristo,,
456,Abiraterone Aristo,,
457,Abiraterone Ariti,,
458,Abiraterone Arrow,,
459,Abiraterone Ashcure,,
460,Abiraterone Ashcure,,
461,Abiraterone Ashcure,,
462,Abiraterone Ashcure,,
463,Abiraterone Avansor,,
464,Abiraterone Biogaran,,
465,Abiraterone Clonmel,,
466,Abiraterone Clonmel,,
467,Abiraterone Cristers,,
468,Abiraterone Day Zero 500 Mg,,
469,Abiraterone Day Zero 500 Mg,,
470,Abiraterone Eg,,
471,Abiraterone Eg,,
472,Abiraterone Eugia,,
473,Abiraterone Eugia,,
474,Abiraterone Eugia,,
475,Abiraterone Eugia,,
476,Abiraterone Evolugen,,
477,Abiraterone Faran,,
478,Abiraterone Farmoz,,
479,Abiraterone Farmoz,,
480,Abiraterone G.L.,,
481,Abiraterone G.L. Pharma,,
482,Abiraterone G.L. Pharma,,
483,Abiraterone G.L. Pharma,,
484,Abiraterone G.L. Pharma,,
485,Abiraterone G.L. Pharma,,
486,Abiraterone Genus Pharmaceuticals,,
487,Abiraterone Genus Pharmaceuticals Ltd.,,
488,Abiraterone Glenmark,,
489,Abiraterone Glenmark,,
490,Abiraterone Glenmark,,
491,Abiraterone Glenmark,,
492,Abiraterone Glenmark,,
493,Abiraterone Glenmark,,
494,Abiraterone Glenmark,,
495,Abiraterone Glenmark Pharmaceuticals Europe,,
496,Abiraterone Heaton,,
497,Abiraterone Heaton,,
498,Abiraterone Heaton,,
499,Abiraterone Krka,,
500,Abiraterone Krka,,
501,Abiraterone Krka,,
502,Abiraterone Medac,,
503,Abiraterone Medac,,
504,Abiraterone Medical Valley,,
505,Abiraterone Medical Valley,,
506,Abiraterone Msn,,
507,Abiraterone Msn,,
508,Abiraterone Msn Labs Europe Limited,,
509,Abiraterone Mylan,,
510,Abiraterone Mylan,,
511,Abiraterone Mylan,,
512,Abiraterone Mylan,,
513,Abiraterone Norameda,,
514,Abiraterone Norameda,,
515,Abiraterone Norameda,,
516,Abiraterone Olpha,,
517,Abiraterone Olpha,,
518,Abiraterone Olpha,,
519,Abiraterone Olpha,,
520,Abiraterone Olpha,,
521,Abiraterone Olpha,,
522,Abiraterone Olpha,,
523,Abiraterone Olpha,,
524,Abiraterone Olpha,,
525,Abiraterone Olpha 250 Mg,,
526,Abiraterone Pharmascience,,
527,Abiraterone Pharmazac,,
528,Abiraterone Pharmazac,,
529,Abiraterone Pharmevid,,
530,Abiraterone Qilu,,
531,Abiraterone Qilu,,
532,Abiraterone Qilu,,
533,Abiraterone Qilu,,
534,Abiraterone Qilu,,
535,Abiraterone Qilu,,
536,Abiraterone Qilu Pharma Spain,,
537,Abiraterone Rafarm,,
538,Abiraterone Richter,,
539,Abiraterone Rowa,,
540,Abiraterone Sandoz,,
541,Abiraterone Sandoz,,
542,Abiraterone Sandoz,,
543,Abiraterone Sandoz,,
544,Abiraterone Sandoz,,
545,Abiraterone Sandoz,,
546,Abiraterone Sandoz,,
547,Abiraterone Sandoz,,
548,Abiraterone Sandoz,,
549,Abiraterone Sandoz,,
550,Abiraterone Sandoz,,
551,Abiraterone Sandoz,,
552,Abiraterone Sandoz Gmbh,,
553,Abiraterone Sapiens,,
554,Abiraterone Stada,,
555,Abiraterone Stada,,
556,Abiraterone Stada,,
557,Abiraterone Stada,,
558,Abiraterone Stada,,
559,Abiraterone Stada,,
560,Abiraterone Stada,,
561,Abiraterone Stada,,
562,Abiraterone Stada,,
563,Abiraterone Stada,,
564,Abiraterone Sun,,
565,Abiraterone Sun,,
566,Abiraterone Sun Pharmaceutical Industries Europe,,
567,Abiraterone Synthon,,
568,Abiraterone Synthon,,
569,Abiraterone Synthon,,
570,Abiraterone Tecnigen,,
571,Abiraterone Tecnigen,,
572,Abiraterone Teva,,
573,Abiraterone Teva,,
574,Abiraterone Teva,,
575,Abiraterone Teva,,
576,Abiraterone Teva,,
577,Abiraterone Torrent Pharma (Uk),,
578,Abiraterone Vipharm,,
579,Abiraterone Vipharm,,
580,Abiraterone Vipharm,,
581,Abiraterone Vipharm,,
582,Abiraterone Vivanta,,
583,Abiraterone Vivanta,,
584,Abiraterone Vivanta,,
585,Abiraterone Vivanta,,
586,Abiraterone Vivanta,,
587,Abiraterone Vocate,,
588,Abiraterone Wockhardt Uk,,
589,Abiraterone Zentiva,,
590,Abiraterone Zentiva,,
591,Abiraterone Zentiva,,
592,Abiraterone Zentiva,,
593,Abiraterone Zentiva,,
594,Abiraterone Zentiva,,
595,Abiraterone Zentiva,,
596,Abiraterone Zentiva,,
597,Abiraterone Zentiva,,
598,Abiraterone Zentiva,,
599,Abiraterone Zentiva,,
600,Abiraterone Zentiva,,
601,Abiraterone Zydus,,
602,Abis,,
603,Abisax,,
604,Abisax,,
605,Abisax,,
606,Abix,,
607,Abmetfina Xr,,
608,Abnoba,,
609,Abnobaviscum Abietis,,
610,Abnobaviscum Abietis,,
611,Abnobaviscum Amygdali,,
612,Abnobaviscum Betulae,,
613,Abnobaviscum Crataegi,,
614,Abnobaviscum Crataegi,,
615,Abnobaviscum Fraxini,,
616,Abnobaviscum Fraxini,,
617,Abnobaviscum Fraxini,,
618,Abnobaviscum Fraxini,,
619,Abnobaviscum Mali,,
620,Abnobaviscum Pini,,
621,Abnobaviscum Quercus,,
622,Abnobaviscum Quercus,,
623,Abnobaviscum Quercus,,
624,Abolibe Forte,,
625,A-Bomin,,
626,Abormib,,
627,Abormib,,
628,Aboxoma,,
629,Aboxoma,,
630,Aboxoma,,
631,Aboxoma,,
632,Aboxoma,,
633,Aboxoma,,
634,Aboxoma,,
635,Aboxoma,,
636,Aboxoma,,
637,Aboxoma,,
638,Aboxoma,,
639,Abradel,,
640,Abrasone Rectal,,
641,Abraxane,,
642,Abraxane,,
643,Abraxane,,
644,Abraxane,,
645,Abrea,,
646,Abrea,,
647,Abrea,,
648,Abriff,,
649,Abriff,,
650,Abrilar,,
651,Abrilia,,
652,Abrion,,
653,Abrix,,
654,Abrobion,,
655,Abrysvo,,
656,Abrysvo,,
657,Abrysvo,,
658,Abrysvo,,
659,Abseamed,,
660,Abseamed,,
661,Abseamed,,
662,Absenor,,
663,Absenor,,
664,Absenor,,
665,Absenor Depot,,
666,Absinthium D1 / Resina Laricis D3 Aa,,
667,Absken,,
668,Absken,,
669,Absken,,
670,Absorcol,,
671,Absorcol,,
672,Abstral,,
673,Abstral,,
674,Abstral,,
675,Abstral,,
676,Abstral,,
677,Abstral,,
678,Abstral,,
679,Abstral,,
680,Abstral,,
681,Abstral,,
682,Abstral,,
683,Abstral,,
684,Abstral,,
685,Abstral,,
686,Abstral,,
687,Abszess-Ilon,,
688,Abt Strabo Blasen- Und Nierentee,,
689,Abt Strabo Hals-Rachentee,,
690,Abt Strabo Husten-Bronchialtee,,
691,Abt Strabo Magen-Darmtee,,
692,Abt Strabo Schlaf-Nerventee,,
693,Abtard,,
694,Abtard,,
695,Abufene,,
696,Abufene,,
697,Abutrax,,
698,Abutrax,,
699,Abutrax,,
700,Abuxar,,
701,Abuxar,,
702,Abyca,,
703,Acadimox,,
704,Acalka,,
705,Acalka,,
706,Acamba,,
707,Acamprosat Viatris,,
708,Acamprosate Biogaran,,
709,Acamprosate Generics [uk] Ltd,,
710,Acamprosate Strandhaven  Somex Pharma,,
711,Acamprosate Viatris,,
712,Acapril,,
713,Acara,,
714,Acara Trio,,
715,Acara Trio,,
716,Acarbosa Farmalider,,
717,Acarbosa Qualigen,,
718,Acarbosa Tarbis,,
719,Acarbosa Tecnigen,,
720,Acarbosa Viatris,,
721,Acarbose Abz,,
722,Acarbose Al,,
723,Acarbose Arrow,,
724,Acarbose Arrow Lab,,
725,Acarbose Aurovitas,,
726,Acarbose Berar Laboratórios Basi - Indústria Farmacêutica,,
727,Acarbose Biogaran,,
728,Acarbose Bluepharma,,
729,Acarbose Crescent Pharma,,
730,Acarbose Dura,,
731,Acarbose Eg,,
732,Acarbose Establix,,
733,Acarbose Farmoz,,
734,Acarbose Friulchem,,
735,Acarbose Generics [uk] Ltd,,
736,Acarbose Generis,,
737,Acarbose Genevida,,
738,Acarbose Glenmark Pharmaceuticals Europe,,
739,Acarbose Morningside Healthcare,,
740,Acarbose Mylan,,
741,Acarbose Sandoz,,
742,Acarbose Stada,,
743,Acarbose Viatris,,
744,Acarbose Viatris,,
745,Acarbose Zentiva,,
746,Acarbosio Aurobindo,,
747,Acarbosio Doc Generici,,
748,Acarbosio Tecnigen,,
749,Acard,,
750,Acard,,
751,Acard Cor,,
752,Acard Pro,,
753,Acarden,,
754,Acarilbial,,
755,Acarilbial,,
756,Acarizax,,
757,Acarizax,,
758,Acarizax,,
759,Acarizax,,
760,Acarizax,,
761,Acarizax,,
762,Acarizax,,
763,Acarizax,,
764,Acarizax,,
765,Acarizax,,
766,Acarizax,,
767,Acarizax,,
768,Acarizax,,
769,Acarizax,,
770,Acarizax,,
771,Acarizax,,
772,Acarizax,,
773,Acarizax,,
774,Acarizax,,
775,Acarizax,,
776,Acarphage,,
777,Acatar Acti Form,,
778,Acatar Acti-Tabs,,
779,Acatar Allergy,,
780,Acatar Care,,
781,Acatar Care Kids,,
782,Acatar Control,,
783,Acatar Mono,,
784,Acatar Mono,,
785,Acatar Zatoki,,
786,Acatar Zatoki Tabs,,
787,Acc,,
788,Acc,,
789,Acc,,
790,Acc,,
791,Acc,,
792,Acc,,
793,Acc,,
794,Acc,,
795,Acc,,
796,Acc,,
797,Acc,,
798,Acc,,
799,Acc,,
800,Acc,,
801,Acc,,
802,Acc,,
803,Acc Akut Hustenlöser,,
804,Acc Akut Z Hustenlöser,,
805,Acc Classic,,
806,Acc Cu Aroma De Mure,,
807,Acc Direkt,,
808,Acc Direkt Hexal  Ag,,
809,Acc Fluidificante E Antidoto,,
810,Acc Hexal  Ag,,
811,Acc Hot,,
812,Acc Hot,,
813,Acc Injekt,,
814,Acc Injekt,,
815,Acc Junior,,
816,Acc Junior,,
817,Acc Kindersaft,,
818,Acc Kindersaft Hexal  Ag,,
819,Acc Lămâie Şi Miere,,
820,Acc Long,,
821,Acc Long,,
822,Acc Long,,
823,Acc Long,,
824,Acc Long,,
825,Acc Long,,
826,Acc Long Instant,,
827,Acc Neo,,
828,Acc Optima,,
829,Acc Optima Active,,
830,Acc Tabs,,
831,Accarizax,,
832,Accofil,,
833,Accofil,,
834,Accofil,,
835,Accofil,,
836,Accrete D3,,
837,Accrete D3 One A Day,,
838,Accupaque,,
839,Accupaque,,
840,Accupaque,,
841,Accusol 35,,
842,Accusol 35,,
843,Accusol 35,,
844,Accusol 35,,
845,Accusol 35,,
846,Accusol 35,,
847,Accusol 35,,
848,Accusol 35,,
849,Accusol 35,,
850,Accusol 35,,
851,Accusol 35,,
852,Accusol 35 Kalium,,
853,Accusol 35 Potassium,,
854,Accusol 35 Potassium,,
855,Accusol 35 Potassium,,
856,Accusol 35 Potassium,,
857,Accusol 35 Potassium,,
858,Accusol 35 Potassium,,
859,Accusol 35 Potassium,,
860,Accusol Con Potassio 35,,
861,Accu-Thyrox,,
862,Accu-Thyrox,,
863,Accu-Thyrox,,
864,Accu-Thyrox,,
865,Acea,,
866,Acebis,,
867,Acebutolol Almus,,
868,Acebutolol Arrow Lab,,
869,Acebutolol Biogaran,,
870,Acebutolol Cristers,,
871,Acebutolol Cristers,,
872,Acebutolol Eg,,
873,Acebutolol Eg,,
874,Acebutolol Gedeon Richter,,
875,Acebutolol Hydrochloride Aurobindo,,
876,Acebutolol Lp Zentiva,,
877,Acebutolol Milpharm,,
878,Acebutolol Sandoz,,
879,Acebutolol Teva,,
880,Acebutolol Viatris,,
881,Acebutolol Zentiva,,
882,Acebutolol Zydus,,
883,Acecardin,,
884,Acecardin,,
885,Aceclofen,,
886,Aceclofen,,
887,Aceclofenac Accord,,
888,Aceclofenac Accord,,
889,Aceclofenac Accord,,
890,Aceclofenac Accord Healthcare,,
891,Aceclofenac Alter,,
892,Aceclofenac Biogaran,,
893,Aceclofenac Double-E Pharma,,
894,Aceclofenac Eg,,
895,Aceclofenac Eg,,
896,Aceclofenac Eg,,
897,Aceclofenac Eg Labo,,
898,Aceclofenac Generis,,
899,Aceclofenac Holsten,,
900,Aceclofenac Mylan,,
901,Aceclofenac Orion,,
902,Aceclofenac Ratiopharm,,
903,Aceclofenac Rivopharm,,
904,Aceclofenac Rivopharm,,
905,Aceclofenac Rivopharm Uk,,
906,Aceclofenac Viatris,,
907,Aceclofenac Zentiva,,
908,Aceclofenaco Cinfa,,
909,Aceclofenaco Kern Pharma,,
910,Aceclofenaco Normon,,
911,Aceclofenaco Stada,,
912,Aceclofenaco Vir,,
913,Aceclonac,,
914,Aceclonac,,
915,Acecomb,,
916,Acecomb Mite,,
917,Acecomb Semi,,
918,Acecor,,
919,Acecor,,
920,Acecort,,
921,Acecort,,
922,Acecort,,
923,Acecort,,
924,Acediur,,
925,Acediur,,
926,Acedol,,
927,Aceduo,,
928,Acefa,,
929,Aceflucil,,
930,Ace-Hemmer Comp.,,
931,Aceite De Ricino Reig Jofre,,
932,Aceklik,,
933,Acelisino Comp. Forte,,
934,Acelisino Comp. Mite,,
935,Acelisino Comp. Semi,,
936,Acelopam,,
937,Acelyn,,
938,Acemap,,
939,Acemap,,
940,Acemetacin Heumann,,
941,Acemetacin Heumann,,
942,Acemetacin Stada,,
943,Acemetax,,
944,Acemin,,
945,Acemis,,
946,Acemis,,
947,Acemis,,
948,Acemit,,
949,Acenam,,
950,Acenocoumarol Aurobindo,,
951,Acenocoumarol Cf,,
952,Acenocumarol Aurovitas,,
953,Acenocumarol Generis,,
954,Acenocumarol Wzf,,
955,Aceomel,,
956,Aceoto,,
957,Aceoto Plus,,
958,Acepiro,,
959,Aceponato De Metilprednisolona Aristo,,
960,Acepramin,,
961,Aceprotin,,
962,Acepurin,,
963,Acerbine,,
964,Acercomp,,
