ID_klinis,typos,katastasi,ID_tmhmatos
71,πολύκλινο,κατειλημμένη,5
72,μονόκλινο,διαθέσιμη,5
73,μονόκλινο,διαθέσιμη,5
74,πολύκλινο,κατειλημμένη,5
75,πολύκλινο,κατειλημμένη,5
76,πολύκλινο,διαθέσιμη,5
77,πολύκλινο,διαθέσιμη,5
78,πολύκλινο,κατειλημμένη,5
79,μονόκλινο,διαθέσιμη,5
80,πολύκλινο,διαθέσιμη,5
81,πολύκλινο,κατειλημμένη,5
82,πολύκλινο,διαθέσιμη,5
83,μονόκλινο,κατειλημμένη,5
84,πολύκλινο,κατειλημμένη,5
85,πολύκλινο,κατειλημμένη,5
86,πολύκλινο,κατειλημμένη,6
87,πολύκλινο,κατειλημμένη,6
88,πολύκλινο,διαθέσιμη,6
89,πολύκλινο,διαθέσιμη,6
90,πολύκλινο,διαθέσιμη,6
91,πολύκλινο,κατειλημμένη,6
92,μονόκλινο,κατειλημμένη,6
93,πολύκλινο,κατειλημμένη,6
94,πολύκλινο,κατειλημμένη,6
95,πολύκλινο,διαθέσιμη,6
96,πολύκλινο,κατειλημμένη,6
97,μονόκλινο,κατειλημμένη,6
98,μονόκλινο,διαθέσιμη,6
99,μονόκλινο,διαθέσιμη,6
100,πολύκλινο,κατειλημμένη,6
101,πολύκλινο,διαθέσιμη,7
102,πολύκλινο,διαθέσιμη,7
103,πολύκλινο,διαθέσιμη,7
104,πολύκλινο,κατειλημμένη,7
105,πολύκλινο,κατειλημμένη,7
106,μονόκλινο,κατειλημμένη,7
107,πολύκλινο,διαθέσιμη,7
108,πολύκλινο,διαθέσιμη,7
109,μονόκλινο,κατειλημμένη,7
110,πολύκλινο,κατειλημμένη,7
111,πολύκλινο,κατειλημμένη,7
112,πολύκλινο,υπό συντήρηση,7
113,μονόκλινο,κατειλημμένη,7
114,πολύκλινο,διαθέσιμη,7
115,πολύκλινο,κατειλημμένη,7
116,μονόκλινο,διαθέσιμη,7
117,πολύκλινο,υπό συντήρηση,7
118,πολύκλινο,κατειλημμένη,7
119,πολύκλινο,κατειλημμένη,7
120,μονόκλινο,διαθέσιμη,7
121,μονόκλινο,κατειλημμένη,8
122,πολύκλινο,διαθέσιμη,8
123,πολύκλινο,διαθέσιμη,8
124,πολύκλινο,υπό συντήρηση,8
125,πολύκλινο,διαθέσιμη,8
126,πολύκλινο,κατειλημμένη,8
127,μονόκλινο,διαθέσιμη,8
128,μονόκλινο,κατειλημμένη,8
129,μονόκλινο,κατειλημμένη,8
130,πολύκλινο,διαθέσιμη,8
131,πολύκλινο,κατειλημμένη,8
132,μονόκλινο,υπό συντήρηση,8
133,πολύκλινο,διαθέσιμη,8
134,πολύκλινο,κατειλημμένη,8
135,πολύκλινο,διαθέσιμη,8
136,πολύκλινο,διαθέσιμη,9
137,πολύκλινο,κατειλημμένη,9
138,πολύκλινο,υπό συντήρηση,9
139,πολύκλινο,κατειλημμένη,9
140,μονόκλινο,κατειλημμένη,9
141,μονόκλινο,διαθέσιμη,9
142,μονόκλινο,διαθέσιμη,9
143,πολύκλινο,διαθέσιμη,9
144,πολύκλινο,κατειλημμένη,9
145,πολύκλινο,κατειλημμένη,9
146,μονόκλινο,κατειλημμένη,9
147,πολύκλινο,κατειλημμένη,9
148,πολύκλινο,διαθέσιμη,10
149,πολύκλινο,κατειλημμένη,10
150,μονόκλινο,υπό συντήρηση,10
151,πολύκλινο,υπό συντήρηση,10
152,πολύκλινο,διαθέσιμη,10
153,πολύκλινο,υπό συντήρηση,11
154,πολύκλινο,κατειλημμένη,11
155,πολύκλινο,κατειλημμένη,11
156,πολύκλινο,κατειλημμένη,11
157,πολύκλινο,διαθέσιμη,11
158,πολύκλινο,διαθέσιμη,11
159,μονόκλινο,κατειλημμένη,11
160,πολύκλινο,διαθέσιμη,11
161,πολύκλινο,κατειλημμένη,12
162,πολύκλινο,κατειλημμένη,12
163,πολύκλινο,υπό συντήρηση,12
164,πολύκλινο,διαθέσιμη,12
165,πολύκλινο,κατειλημμένη,12
166,πολύκλινο,κατειλημμένη,12
167,πολύκλινο,κατειλημμένη,12
168,πολύκλινο,διαθέσιμη,12
169,πολύκλινο,κατειλημμένη,12
170,μονόκλινο,κατειλημμένη,12
171,μονόκλινο,διαθέσιμη,12
172,πολύκλινο,διαθέσιμη,12
173,πολύκλινο,κατειλημμένη,12
174,πολύκλινο,υπό συντήρηση,12
175,πολύκλινο,κατειλημμένη,12
176,πολύκλινο,κατειλημμένη,12
177,πολύκλινο,κατειλημμένη,12
178,πολύκλινο,διαθέσιμη,12
179,πολύκλινο,κατειλημμένη,12
180,πολύκλινο,διαθέσιμη,12
181,μονόκλινο,κατειλημμένη,13
182,πολύκλινο,διαθέσιμη,13
183,πολύκλινο,κατειλημμένη,13
184,πολύκλινο,κατειλημμένη,13
185,πολύκλινο,κατειλημμένη,13
186,πολύκλινο,κατειλημμένη,13
187,μονόκλινο,διαθέσιμη,13
188,πολύκλινο,κατειλημμένη,13
189,πολύκλινο,διαθέσιμη,13
190,πολύκλινο,κατειλημμένη,13
191,πολύκλινο,κατειλημμένη,13
192,πολύκλινο,διαθέσιμη,13
193,πολύκλινο,διαθέσιμη,13
194,μονόκλινο,κατειλημμένη,13
195,πολύκλινο,διαθέσιμη,13
196,πολύκλινο,κατειλημμένη,14
197,πολύκλινο,κατειλημμένη,14
198,πολύκλινο,κατειλημμένη,14
199,πολύκλινο,υπό συντήρηση,14
200,μονόκλινο,υπό συντήρηση,14
201,πολύκλινο,κατειλημμένη,14
202,μονόκλινο,κατειλημμένη,14
203,πολύκλινο,κατειλημμένη,14
204,πολύκλινο,κατειλημμένη,14
205,μονόκλινο,κατειλημμένη,14
206,πολύκλινο,υπό συντήρηση,14
207,πολύκλινο,κατειλημμένη,14
208,πολύκλινο,κατειλημμένη,15
209,πολύκλινο,κατειλημμένη,15
210,πολύκλινο,διαθέσιμη,15
211,πολύκλινο,κατειλημμένη,15
212,πολύκλινο,κατειλημμένη,15
213,πολύκλινο,κατειλημμένη,15
214,πολύκλινο,κατειλημμένη,15
215,πολύκλινο,κατειλημμένη,15
216,πολύκλινο,διαθέσιμη,15
217,πολύκλινο,κατειλημμένη,15
218,πολύκλινο,κατειλημμένη,15
219,πολύκλινο,κατειλημμένη,15
220,πολύκλινο,κατειλημμένη,15
221,πολύκλινο,κατειλημμένη,15
222,πολύκλινο,διαθέσιμη,15
