code,description
A16.0,Tuberculosis of lymph nodes
A16.1,Tuberculosis of genitourinary system
A16.2,Tuberculosis of bone and joint
A16.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A16.4,Tuberculosis of skin and subcutaneous tissue
A16.5,Tuberculosis of eye
A16.6,Tuberculous otitis media
A16.8,Tuberculosis of other organs
A16.9,Miliary tuberculosis
A17.0,Tuberculous meningitis
A17.1,Tuberculoma of brain and spinal cord
A17.8,Other tuberculosis of nervous system
A17.9,Miliary tuberculosis
A18.0,Tuberculosis of bones and joints
A18.1,Tuberculosis of genitourinary system
A18.2,Tuberculous peripheral lymphadenopathy
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A18.4,Tuberculosis of skin and subcutaneous tissue
A18.5,Tuberculosis of eye
A18.6,Tuberculosis of (inner) ear
A18.7,Tuberculosis of adrenal glands
A18.8,Tuberculosis of other organs
A18.81,Tuberculosis of thyroid gland
A18.82,Tuberculosis of other endocrine glands
A18.83,Tuberculosis of digestive tract organs
A18.84,Tuberculosis of heart
A18.85,Tuberculosis of spleen
A18.89,Tuberculosis of other sites
A19.0,Acute miliary tuberculosis
A19.1,Chronic miliary tuberculosis
A19.9,"Miliary tuberculosis, unspecified"
A20.0,Bubonic plague
A20.1,Cellulitis plague
A20.2,Pneumonic plague
A20.3,Plague septicemia
A20.7,Septicemic plague
A20.8,Other forms of plague
A20.9,"Plague, unspecified"
A21.0,Ulceroglandular tularemia
A21.1,Oculoglandular tularemia
A21.2,Pulmonary tularemia
A21.3,Gastrointestinal tularemia
A21.7,Generalized tularemia
A21.8,Other forms of tularemia
A21.9,"Tularemia, unspecified"
A22.0,Cutaneous anthrax
A22.1,Pulmonary anthrax
A22.2,Gastrointestinal anthrax
A22.7,Anthrax sepsis
A22.8,Other forms of anthrax
A22.9,"Anthrax, unspecified"
A23.0,Brucellosis due to Brucella melitensis
A23.1,Brucellosis due to Brucella abortus
A23.2,Brucellosis due to Brucella suis
A23.3,Brucellosis due to Brucella canis
A23.8,Other brucellosis
A23.9,"Brucellosis, unspecified"
C00.0,Malignant neoplasm of external upper lip
C00.1,Malignant neoplasm of external lower lip
C00.2,"Malignant neoplasm of external lip, unspecified"
C00.3,"Malignant neoplasm of upper lip, inner aspect"
C00.4,"Malignant neoplasm of lower lip, inner aspect"
C00.5,"Malignant neoplasm of lip, unspecified, inner aspect"
C00.6,Malignant neoplasm of commissure of lip
C00.8,Malignant neoplasm of overlapping sites of lip
C00.9,"Malignant neoplasm of lip, unspecified"
C01.9,Malignant neoplasm of base of tongue
C02.0,Malignant neoplasm of dorsal surface of tongue
C02.1,Malignant neoplasm of border of tongue
C02.2,Malignant neoplasm of ventral surface of tongue
C02.3,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
C02.4,Malignant neoplasm of lingual frenum
C02.8,Malignant neoplasm of overlapping sites of tongue
C02.9,"Malignant neoplasm of tongue, unspecified"
C03.0,Malignant neoplasm of upper gum
C03.1,Malignant neoplasm of lower gum
C03.9,"Malignant neoplasm of gum, unspecified"
C04.0,Malignant neoplasm of anterior floor of mouth
C04.1,Malignant neoplasm of lateral floor of mouth
C04.8,Malignant neoplasm of overlapping sites of floor of mouth
C04.9,"Malignant neoplasm of floor of mouth, unspecified"
C05.0,Malignant neoplasm of hard palate
C05.1,Malignant neoplasm of soft palate
C05.2,Malignant neoplasm of uvula
C05.8,Malignant neoplasm of overlapping sites of palate
C05.9,"Malignant neoplasm of palate, unspecified"
C06.0,Malignant neoplasm of cheek mucosa
C06.1,Malignant neoplasm of vestibule of mouth
C06.2,Malignant neoplasm of hard palate
C06.80,Malignant neoplasm of overlapping sites of unspecified parts of mouth
C06.89,Malignant neoplasm of overlapping sites of other parts of mouth
C06.9,"Malignant neoplasm of mouth, unspecified"
C07.9,Malignant neoplasm of parotid gland
C08.0,Malignant neoplasm of submandibular gland
C08.1,Malignant neoplasm of sublingual gland
C08.9,"Malignant neoplasm of salivary gland, unspecified"
C09.0,Malignant neoplasm of ventral surface of tongue and floor of mouth
C09.1,Malignant neoplasm of dorsal surface of tongue
C09.8,Malignant neoplasm of overlapping sites of oropharynx
C09.9,"Malignant neoplasm of oropharynx, unspecified"
C10.0,Malignant neoplasm of anterior wall of nasopharynx
C10.1,Malignant neoplasm of posterior wall of nasopharynx
C10.2,Malignant neoplasm of lateral wall of nasopharynx
C10.3,Malignant neoplasm of anterior wall of pharynx
C10.8,Malignant neoplasm of overlapping sites of pharynx
C10.9,"Malignant neoplasm of pharynx, unspecified"
C12.9,Malignant neoplasm of pyriform sinus
C13.0,Malignant neoplasm of aryepiglottic fold
C13.1,Malignant neoplasm of interarytenoid region
C13.2,Malignant neoplasm of posterior wall of hypopharynx
C13.8,Malignant neoplasm of overlapping sites of hypopharynx
C13.9,"Malignant neoplasm of hypopharynx, unspecified"
C14.0,"Malignant neoplasm of pharynx, unspecified"
C14.2,Malignant neoplasm of Waldeyer ring
C14.8,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx"
C15.0,Malignant neoplasm of cervical esophagus
C15.1,Malignant neoplasm of thoracic esophagus
C15.2,Malignant neoplasm of abdominal esophagus
C15.3,Malignant neoplasm of upper third of esophagus
C15.4,Malignant neoplasm of middle third of esophagus
C15.5,Malignant neoplasm of lower third of esophagus
C15.8,Malignant neoplasm of overlapping sites of esophagus
C15.9,"Malignant neoplasm of esophagus, unspecified"
C16.0,Malignant neoplasm of cardia
C16.1,Malignant neoplasm of fundus of stomach
C16.2,Malignant neoplasm of body of stomach
C16.3,Malignant neoplasm of gastric antrum
C16.4,Malignant neoplasm of pylorus
C16.5,"Malignant neoplasm of lesser curvature of stomach, unspecified"
C16.6,"Malignant neoplasm of greater curvature of stomach, unspecified"
C16.8,Malignant neoplasm of overlapping sites of stomach
C16.9,"Malignant neoplasm of stomach, unspecified"
C25.0,Malignant neoplasm of head of pancreas
C25.1,Malignant neoplasm of body of pancreas
C25.2,Malignant neoplasm of tail of pancreas
C25.3,Malignant neoplasm of pancreatic duct
C25.4,Endocrine tumor of pancreas
C25.7,Malignant neoplasm of other parts of pancreas
C25.8,Malignant neoplasm of overlapping sites of pancreas
C25.9,"Malignant neoplasm of pancreas, unspecified"
C34.0,Malignant neoplasm of main bronchus
C34.1,"Malignant neoplasm of upper lobe, unspecified lung"
C34.2,"Malignant neoplasm of middle lobe, lung"
C34.3,"Malignant neoplasm of lower lobe, unspecified lung"
C34.8,Malignant neoplasm of overlapping sites within the lung
C34.80,Malignant neoplasm of overlapping sites of unspecified lung
C34.81,Malignant neoplasm of overlapping sites of right lung
C34.82,Malignant neoplasm of overlapping sites of left lung
C34.9,"Malignant neoplasm of lung, unspecified"
C50.0,Malignant neoplasm of nipple and areola
C50.1,Malignant neoplasm of central portion of breast
C50.2,Malignant neoplasm of upper-inner quadrant of breast
C50.3,Malignant neoplasm of lower-inner quadrant of breast
C50.4,Malignant neoplasm of upper-outer quadrant of breast
C50.5,Malignant neoplasm of lower-outer quadrant of breast
C50.6,Malignant neoplasm of axillary tail of breast
C50.8,Malignant neoplasm of overlapping sites of breast
C50.9,Malignant neoplasm of unspecified site of breast
C62.0,Malignant neoplasm of undescended testis
C62.1,Malignant neoplasm of descended testis
C62.9,"Malignant neoplasm of testis, unspecified"
C73.9,Malignant neoplasm of thyroid gland
C80.1,"Malignant neoplasm, unspecified"
D10.0,Benign neoplasm of lip
D10.1,Benign neoplasm of tongue
D10.2,Benign neoplasm of floor of mouth
D10.3,Benign neoplasm of other and unspecified parts of mouth
D25.0,Submucosal leiomyoma of uterus
D25.1,Intramural leiomyoma of uterus
D25.2,Subperitoneal leiomyoma of uterus
D25.9,"Leiomyoma of uterus, unspecified"
D35.0,Benign neoplasm of adrenal gland
D44.0,Neoplasm of uncertain behavior of thyroid
D44.1,Neoplasm of uncertain behavior of adrenal gland
E10.1,Type 1 diabetes mellitus with ketoacidosis
E10.10,Type 1 diabetes mellitus with ketoacidosis without coma
E10.11,Type 1 diabetes mellitus with ketoacidosis with coma
E10.2,Type 1 diabetes mellitus with hyperosmolarity
E10.21,Type 1 diabetes mellitus with hyperosmolarity with coma
E10.22,Type 1 diabetes mellitus with hyperosmolarity without coma
E10.3,Type 1 diabetes mellitus with ophthalmic complications
E10.32,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy
E10.33,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy
E10.34,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy
E10.35,Type 1 diabetes mellitus with proliferative diabetic retinopathy
E10.36,Type 1 diabetes mellitus with diabetic cataract
E10.37,Type 1 diabetes mellitus with diabetic macular edema
E10.39,Type 1 diabetes mellitus with other diabetic ophthalmic complication
E10.4,Type 1 diabetes mellitus with neurological complications
E10.40,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified"
E10.41,Type 1 diabetes mellitus with diabetic mononeuropathy
E10.42,Type 1 diabetes mellitus with diabetic polyneuropathy
E10.43,Type 1 diabetes mellitus with diabetic autonomic polyneuropathy
E10.44,Type 1 diabetes mellitus with diabetic amyotrophy
E10.49,Type 1 diabetes mellitus with other diabetic neurological complication
E10.5,Type 1 diabetes mellitus with circulatory complications
E10.51,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
E10.52,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
E10.59,Type 1 diabetes mellitus with other circulatory complications
E10.6,Type 1 diabetes mellitus with other specified complications
E10.61,Type 1 diabetes mellitus with diabetic arthropathy
E10.62,Type 1 diabetes mellitus with skin complications
E10.63,Type 1 diabetes mellitus with oral complications
E10.64,Type 1 diabetes mellitus with hypoglycemia
E10.649,Type 1 diabetes mellitus with hypoglycemia with coma
E10.65,Type 1 diabetes mellitus with hyperglycemia
E10.69,Type 1 diabetes mellitus with other specified complication
E10.7,Type 1 diabetes mellitus with multiple complications
E10.9,Type 1 diabetes mellitus without complications
E11.0,Type 2 diabetes mellitus with hyperosmolarity
E11.00,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma
E11.01,Type 2 diabetes mellitus with hyperosmolarity with nonketotic hyperglycemic-hyperosmolar coma
E11.1,Type 2 diabetes mellitus with ketoacidosis
E11.10,Type 2 diabetes mellitus with ketoacidosis without coma
E11.11,Type 2 diabetes mellitus with ketoacidosis with coma
E11.2,Type 2 diabetes mellitus with unspecified diabetic retinopathy
E11.21,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
E11.22,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy
E11.23,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy
E11.24,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy
E11.25,Type 2 diabetes mellitus with proliferative diabetic retinopathy
E11.29,Type 2 diabetes mellitus with other diabetic ophthalmic complication
E11.3,Type 2 diabetes mellitus with ophthalmic complications
E11.31,Type 2 diabetes mellitus with diabetic neuropathy
E11.32,Type 2 diabetes mellitus with diabetic neuropathy with pain
E11.4,Type 2 diabetes mellitus with neurological complications
E11.5,Type 2 diabetes mellitus with circulatory complications
E11.6,Type 2 diabetes mellitus with other specified complications
E11.7,Type 2 diabetes mellitus with multiple complications
E11.9,Type 2 diabetes mellitus without complications
E66.0,Obesity due to excess calories
E66.01,Drug-induced obesity
E66.09,Other obesity due to excess calories
E66.1,Drug-induced obesity with alveolar hypoventilation
E66.2,Morbid (severe) obesity with alveolar hypoventilation
E66.3,Overweight
E66.8,Other obesity
E66.9,"Obesity, unspecified"
E78.0,Pure hypercholesterolemia
E78.1,Pure hypertriglyceridemia
E78.2,Mixed hyperlipidemia
E78.3,Hyperlipoproteinemia
E78.4,Other hyperlipidemia
E78.5,Lipoid storage disorder
E88.9,Unspecified metabolic disorder
I10.00,Essential hypertension with heart failure
I10.01,Essential hypertension with acute diastolic heart failure
I10.02,Essential hypertension with chronic diastolic heart failure
I10.10,Essential hypertension with left ventricular hypertrophy
I10.90,"Essential hypertension, unspecified"
I25.10,Atherosclerotic heart disease of native coronary artery with angina pectoris
I25.110,Atherosclerotic heart disease with angina pectoris with documented spasm
I25.119,Atherosclerotic heart disease with angina pectoris without documented spasm
I25.2,Atherosclerotic heart disease of native coronary artery with angina pectoris
I25.8,Other forms of chronic ischemic heart disease
I50.1,Left ventricular failure
I50.2,Systolic ventricular dysfunction
I50.3,Diastolic ventricular dysfunction
I50.4,Combined systolic and diastolic ventricular dysfunction
I50.810,"Right heart failure, not elsewhere classified"
I50.811,Acute right heart failure
I50.812,Chronic right heart failure
I50.813,Acute on chronic right heart failure
I50.814,Right heart failure due to left heart failure
I50.82,Biventricular heart failure
I50.83,High output heart failure
I50.84,End stage heart failure
I50.89,Other heart failure
I50.9,"Heart failure, unspecified"
I60.0,Nontraumatic subarachnoid hemorrhage from carotid siphon and bifurcation
I61.0,"Intracerebral hemorrhage in hemisphere, subcortical"
I61.1,"Intracerebral hemorrhage in hemisphere, cortical"
I61.2,"Intracerebral hemorrhage in hemisphere, unspecified"
I61.3,Intracerebral hemorrhage in brain stem
I61.4,Intracerebral hemorrhage in cerebellum
I61.5,"Intracerebral hemorrhage, intraventricular"
I61.6,"Intracerebral hemorrhage, multiple localized"
I61.8,Other intracerebral hemorrhage
I61.9,"Intracerebral hemorrhage, unspecified"
I63.0,Cerebral infarction due to thrombosis of precerebral arteries
I63.1,Cerebral infarction due to embolism of precerebral arteries
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
I63.3,Cerebral infarction due to thrombosis of cerebral arteries
I63.4,Cerebral infarction due to embolism of cerebral arteries
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral artery
I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
I63.8,Other cerebral infarction
I63.9,"Cerebral infarction, unspecified"
I69.0,Sequelae of subarachnoid hemorrhage
I69.1,Sequelae of intracerebral hemorrhage
I69.3,Sequelae of ischemic stroke
J00.9,Acute nasopharyngitis [common cold]
J01.0,Acute maxillary sinusitis
J01.1,Acute frontal sinusitis
J01.2,Acute ethmoidalsinusitis
J01.3,Acute sphenoidalsinusitis
J01.4,Acute pansinusitis
J01.9,"Acute sinusitis, unspecified"
J06.0,Acute laryngopharyngitis
J06.9,"Acute upper respiratory infection, unspecified"
J09.02,Influenza due to identified novel H1N1 influenza virus with pneumonia
J10.0,Influenza due to other identified influenza virus with pneumonia
J10.1,Influenza due to other identified influenza virus with other respiratory manifestations
J11.0,Influenza due to unidentified influenza virus with pneumonia
J11.1,Influenza due to unidentified influenza virus with other respiratory manifestations
J12.0,Adenoviral pneumonia
J12.1,Respiratory syncytial virus pneumonia
J12.2,Parainfluenza virus pneumonia
J12.3,Human metapneumovirus pneumonia
J12.8,Other viral pneumonia
J12.9,"Viral pneumonia, unspecified"
J13.9,Pneumonia due to Streptococcus pneumoniae
J14.9,Pneumonia due to Hemophilus influenzae
J15.0,Pneumonia due to Klebsiella pneumoniae
J15.1,Pneumonia due to Pseudomonas
J15.2,Pneumonia due to Staphylococcus
J15.20,Pneumonia due to Staphylococcus aureus
J15.211,Pneumonia due to Methicillin resistant Staphylococcus aureus
J15.212,Pneumonia due to Methicillin susceptible Staphylococcus aureus
J15.29,Pneumonia due to other Staphylococcus
J15.3,"Pneumonia due to Streptococcus, group B"
J15.4,Pneumonia due to other Streptococcus
J15.5,Pneumonia due to Escherichia coli
J15.6,Pneumonia due to Serratia
J15.7,Pneumonia due to other Gram-negative bacteria
J15.8,Pneumonia due to other specified bacteria
J15.9,Unspecified bacterial pneumonia
J16.0,Chlamydial pneumonia
J16.8,Pneumonia due to other specified infectious organisms
J17.0,Pneumonia in bacterial diseases classified elsewhere
J18.0,Bronchial pneumonia
J18.1,Lobar pneumonia
J18.2,Hypostatic pneumonia
J18.8,Other pneumonia
J18.9,"Pneumonia, unspecified"
J20.0,Acute bronchitis due to Mycoplasma pneumoniae
J20.1,Acute bronchitis due to Hemophilus influenzae
J20.2,Acute bronchitis due to Streptococcus
J20.3,Acute bronchitis due to Coxsackievirus
J20.4,Acute bronchitis due to parainfluenza virus
J20.5,Acute bronchitis due to respiratory syncytial virus
J20.6,Acute bronchitis due to rhinovirus
J20.7,Acute bronchitis due to echovirus
J20.8,Acute bronchitis due to other specified organisms
J20.9,"Acute bronchitis, unspecified"
J21.0,Acute bronchiolitis due to respiratory syncytial virus
J21.1,Acute bronchiolitis due to human metapneumovirus
J21.8,Acute bronchiolitis due to other specified organisms
J21.9,"Acute bronchiolitis, unspecified"
J22.9,Unspecified acute lower respiratory infection
J40.9,Unspecified chronic bronchitis
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection
J44.1,Chronic obstructive pulmonary disease with acute exacerbation
J44.9,"Chronic obstructive pulmonary disease, unspecified"
J45.0,Predominantly allergic asthma
J45.1,Nonallergic asthma
J45.8,Mixed asthma
J45.9,"Asthma, unspecified"
J47.0,Bronchiectasis with acute lower respiratory infection
J47.1,Bronchiectasis with acute exacerbation
J47.9,"Bronchiectasis, unspecified"
K20.0,Esophagitis without bleeding
K20.1,Esophagitis with bleeding
K20.8,Other esophagitis
K20.9,"Esophagitis, unspecified"
K21.0,Gastro-esophageal reflux disease with esophagitis
K21.9,Gastro-esophageal reflux disease without esophagitis
K29.0,Acute suppurative gastritis
K29.1,Acute hemorrhagic gastritis
K29.2,Acute gastritis without bleeding or hemorrhage
K29.3,Chronic superficial gastritis
K29.4,Chronic atrophic gastritis
K29.5,Unspecified chronic gastritis
K29.60,Other gastritis without bleeding
K29.61,Other gastritis with bleeding
K29.70,"Gastritis, unspecified, without bleeding"
K29.71,"Gastritis, unspecified, with bleeding"
K30.9,Functional dyspepsia
K31.0,Acute dilatation of stomach
K31.1,Adult hypertrophic pyloric stenosis
K31.2,Hourglass stricture and stenosis of stomach
K31.3,Pylorospasm in adult
K31.4,Gastric diverticulum
K31.5,Obstruction of duodenum
K31.6,Fistula of stomach and duodenum
K31.7,Polyp of stomach and duodenum
K31.8,Other specified diseases of stomach and duodenum
K31.9,"Disease of stomach and duodenum, unspecified"
K35.3,Unspecified acute appendicitis
K35.80,Unspecified acute appendicitis without peritoneal abscess
K35.81,Unspecified acute appendicitis with peritoneal abscess
K40.0,"Bilateral inguinal hernia, with obstruction, without gangrene"
K40.1,"Bilateral inguinal hernia, with gangrene"
K40.2,"Bilateral inguinal hernia, without obstruction or gangrene"
K40.3,"Unilateral inguinal hernia, with obstruction, without gangrene"
K40.4,"Unilateral inguinal hernia, with gangrene"
K40.9,Unilateral inguinal hernia without obstruction or gangrene
K41.0,"Bilateral femoral hernia, with obstruction, without gangrene"
K41.1,"Bilateral femoral hernia, with gangrene"
K41.2,Bilateral femoral hernia without obstruction or gangrene
K41.3,"Unilateral femoral hernia, with obstruction, without gangrene"
K41.4,"Unilateral femoral hernia, with gangrene"
K41.9,Unilateral femoral hernia without obstruction or gangrene
K42.0,"Umbilical hernia with obstruction, without gangrene"
K42.1,Umbilical hernia with gangrene
K42.9,Umbilical hernia without obstruction or gangrene
K50.0,Crohns disease of small intestine
K50.1,Crohns disease of large intestine
K50.8,Crohns disease of other sites
K50.9,"Crohns disease, unspecified"
K51.0,Ulcerative colitis limited to rectum
K51.1,Ulcerative colitis limited to left colon
K51.2,Ulcerative colitis limited to sigmoid colon
K51.3,Ulcerative colitis of large intestine
K51.4,Inflammatory polyps of colon
K51.5,Left sided ulcerative colitis
K51.6,Universal ulcerative colitis
K51.8,Other ulcerative colitis
K51.9,"Ulcerative colitis, unspecified"
K57.0,Diverticulitis of small intestine
K57.2,Diverticulitis of large intestine
K57.4,Diverticulitis of both small and large intestine
K57.8,"Diverticulitis of intestine, part unspecified"
K57.9,Diverticulosis of unspecified site of intestine
K59.1,Diarrhea
K59.2,"Neurogenic bowel, not elsewhere classified"
K59.3,Ileostomy dysfunction
K59.4,Anal spasm
K59.8,Other specified functional intestinal disorders
K59.9,"Functional intestinal disorder, unspecified"
K70.0,Alcoholic fatty liver disease
K70.1,Alcoholic hepatitis
K70.2,Alcoholic fibrosis and sclerosis of liver
K70.3,Alcoholic cirrhosis of liver
K70.4,Alcoholic hepatic failure
K70.9,"Alcoholic liver disease, unspecified"
K71.0,Toxic liver disease with cholestasis
K75.0,Abscess of liver
K76.0,"Fatty (change of) liver, not elsewhere classified"
K76.1,Chronic hepatic failure
K76.2,Hepatic encephalopathy
K76.3,Infarction of liver
K76.4,Peliosis hepatis
K76.5,Hepatic fibrosis
K76.6,Hepatic portal hypertension
K76.8,Other specified diseases of liver
K76.9,"Liver disease, unspecified"
K80.0,Calculus of gallbladder with acute cholecystitis
K80.1,Calculus of gallbladder with other cholecystitis
K80.2,Calculus of gallbladder without cholecystitis
K80.3,Calculus of bile duct with cholangitis
K80.4,Calculus of bile duct with cholecystitis
K80.5,Calculus of bile duct without cholangitis
K80.6,Calculus of gallbladder and bile duct with cholecystitis
K80.7,Calculus of gallbladder and bile duct without cholecystitis
K80.8,Other cholelithiasis
K81.0,Acute cholecystitis
K81.1,Chronic cholecystitis
K81.2,Acute cholecystitis with chronic cholecystitis
K81.9,"Cholecystitis, unspecified"
K82.0,Obstruction of gallbladder
K82.1,Hydrops of gallbladder
K82.2,Perforation of gallbladder
K82.3,Fistula of gallbladder
K82.4,Cholecystolithiasis
K82.8,Other specified diseases of gallbladder
K82.9,"Disease of gallbladder, unspecified"
M05.9,Unspecified rheumatoid arthritis of unspecified site
M19.0,Primary osteoarthritis
M19.9,Unspecified osteoarthritis
M25.5,Pain in joint
M79.3,"Panniculitis, unspecified"
M96.89,Other specific complications of musculoskeletal procedure
R00.0,"Tachycardia, unspecified"
R00.1,"Bradycardia, unspecified"
R00.2,Palpitations
R01.1,"Cardiac murmur, unspecified"
R03.0,"Elevated blood-pressure reading, without diagnosis of hypertension"
R04.0,Epistaxis
R04.1,Hemorrhage from throat
R05.9,"Fever, unspecified"
R06.0,Dyspnea
R06.02,Shortness of breath
R06.1,Stridor
R07.0,Chest pain on breathing
R07.1,Chest pain on breathing
R07.2,Precordial pain
R07.9,"Chest pain, unspecified"
R10.0,Right upper quadrant pain
R10.1,Left upper quadrant pain
R10.2,Periumbilical pain
R10.3,Right lower quadrant pain
R10.4,Left lower quadrant pain
R10.8,Other abdominal pain
R10.9,Unspecified abdominal pain
R11.0,Nausea
R11.1,Vomiting
R11.2,Nausea with vomiting
R13.1,Dysphagia
R15.0,Involuntary defecation
R15.1,Fecal urgency
R15.9,"Incontinence of feces, unspecified"
R19.1,Diarrhea
R19.7,Diarrhea
R20.0,Anesthesia of skin
R20.1,Hypoesthesia of skin
R20.2,Paresthesia of skin
R20.3,Hyperesthesia of skin
R20.8,Other disturbances of skin sensation
R20.9,Unspecified disturbances of skin sensation
R21.9,Unspecified rash and other nonspecific skin eruption
R25.0,Abnormal head movements
R25.1,"Tremor, unspecified"
R25.8,Other abnormalities of movement
R25.9,Unspecified abnormalities of movement
R26.0,"Ataxia, unspecified"
R26.1,"Paralysis, unspecified"
R26.2,"Difficulty in walking, not elsewhere classified"
R26.8,Other abnormalities of gait and mobility
R26.9,Unspecified abnormalities of gait and mobility
R29.0,Tetany
R29.1,Meningismus
R29.2,Abnormal reflex
R29.3,Abnormal posture
R29.4,Clicking hip
R29.8,Other specified symptoms and signs involving the nervous and musculoskeletal systems
R29.90,Unspecified symptoms and signs involving the nervous and musculoskeletal systems
R30.0,Dysuria
R30.1,Tenesmus
R30.9,"Painful micturition, unspecified"
R31.0,Gross hematuria
R31.1,Benign essential microscopic hematuria
R31.2,Other microscopic hematuria
R31.9,"Hematuria, unspecified"
R32.9,Unspecified urinary incontinence
R33.0,Acute retention of urine
R33.8,Other retention of urine
R33.9,"Retention of urine, unspecified"
R34.0,Anuria
R34.1,Oliguria
R34.9,"Anuria and oliguria, unspecified"
R35.0,Frequency of micturition
R35.1,Nocturia
R35.8,Other polyuria
R35.9,"Polyuria, unspecified"
R40.1,Somnolence
R40.2,Coma
R40.20,Unspecified coma
R40.21,Coma scale score 3-8
R40.22,Coma scale score 9-12
R40.23,Coma scale score 13-15
R40.24,"Glasgow coma scale score 15, status unknown"
Z00.0,Encounter for general adult medical examination without abnormal findings
Z00.1,Encounter for newborn infant screening
Z00.2,Encounter for physical examination with abnormal findings
Z00.3,Encounter for examination of blood pressure without diagnosis of hypertension
Z00.8,Encounter for other general medical examination
Z00.9,Encounter for general medical examination without abnormal findings
Z01.0,Encounter for examination of eyes and vision
Z01.1,Encounter for examination of ears and hearing
Z01.2,Encounter for dental examination
Z01.3,Encounter for examination of blood pressure
Z01.4,Encounter for gynecological examination
Z01.81,Encounter for pre-procedural examination
Z01.82,Encounter for pre-operative physical examination
Z01.812,Encounter for pre-operative cardiovascular examination
Z01.818,Encounter for other pre-procedural examination
Z01.89,Encounter for other specified special examinations
Z01.9,Encounter for unspecified special examination
Z02.0,Encounter for examination for admission to educational institution
Z02.1,Encounter for pre-employment examination
Z02.2,Encounter for examination for entry into prison
Z02.3,Encounter for examination for recruitment to armed forces
Z02.4,Encounter for examination for assistance to determine fitness for work
Z02.5,Encounter for examination to determine fitness for employment
